"id","name","percent_amount","percent_reduction","tax_domain","cst_in_id:id","cst_out_id:id"
"fiscal_tax_ipi_nt","IPI NT","0.00","0.00","ipi","fiscal_cst_ipi_03","fiscal_cst_ipi_53"
"fiscal_tax_ipi_0","IPI 0%","0.00","0.00","ipi","fiscal_cst_ipi_01","fiscal_cst_ipi_51"
"fiscal_tax_ipi_2","IPI 2%","2.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_3","IPI 3%","3.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_4","IPI 4%","4.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_5","IPI 5%","5.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_6","IPI 6%","6.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_7","IPI 7%","7.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_8","IPI 8%","8.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_10","IPI 10%","10.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_12","IPI 12%","12.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_13","IPI 13%","13.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_15","IPI 15%","15.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_16","IPI 16%","16.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_18","IPI 18%","18.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_20","IPI 20%","20.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_22","IPI 22%","22.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_24","IPI 24%","24.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_25","IPI 25%","25.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_27","IPI 27%","27.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_30","IPI 30%","30.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_35","IPI 35%","35.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_40","IPI 40%","40.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_42","IPI 42%","42.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_45","IPI 45%","45.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_50","IPI 50%","50.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_60","IPI 60%","60.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ipi_300","IPI 300%","300.00","0.00","ipi","fiscal_cst_ipi_00","fiscal_cst_ipi_50"
"fiscal_tax_ii_0","II 0%","0.00","0.00","ii",,
"fiscal_tax_ii_2","II 2%","2.00","0.00","ii",,
"fiscal_tax_ii_4","II 4%","4.00","0.00","ii",,
"fiscal_tax_ii_6","II 6%","6.00","0.00","ii",,
"fiscal_tax_ii_8","II 8%","8.00","0.00","ii",,
"fiscal_tax_ii_10","II 10%","10.00","0.00","ii",,
"fiscal_tax_ii_12","II 12%","12.00","0.00","ii",,
"fiscal_tax_ii_14","II 14%","14.00","0.00","ii",,
"fiscal_tax_ii_16","II 16%","16.00","0.00","ii",,
"fiscal_tax_ii_18","II 18%","18.00","0.00","ii",,
"fiscal_tax_ii_20","II 20%","20.00","0.00","ii",,
"fiscal_tax_ii_26","II 26%","26.00","0.00","ii",,
"fiscal_tax_ii_28","II 28%","28.00","0.00","ii",,
"fiscal_tax_ii_35","II 35%","35.00","0.00","ii",,
