"id","description","name","tax_group","chart_template_id:id"
"49","IPI","IPI","vat","l10n_br_chart_template"
"57","IPI 4%","IPI 4%","vat","l10n_br_chart_template"
"53","ICMS 12%","ICMS 12%","vat","l10n_br_chart_template"
"54","IPI 0%","IPI 0%","vat","l10n_br_chart_template"
"61","IPI 10%","IPI 10%","vat","l10n_br_chart_template"
"62","IPI 12%","IPI 12%","vat","l10n_br_chart_template"
"63","IPI 13%","IPI 13%","vat","l10n_br_chart_template"
"64","IPI 15%","IPI 15%","vat","l10n_br_chart_template"
"65","IPI 16%","IPI 16%","vat","l10n_br_chart_template"
"52","ICMS 7%","ICMS 7%","vat","l10n_br_chart_template"
"55","IPI 2%","IPI 2%","vat","l10n_br_chart_template"
"51","COFINS","COFINS","vat","l10n_br_chart_template"
"56","IPI 3%","IPI 3%","vat","l10n_br_chart_template"
"58","IPI 5%","IPI 5%","vat","l10n_br_chart_template"
"59","IPI 7%","IPI 7%","vat","l10n_br_chart_template"
"60","IPI 8%","IPI 8%","vat","l10n_br_chart_template"
"66","IPI 18%","IPI 18%","vat","l10n_br_chart_template"
"67","IPI 20%","IPI 20%","vat","l10n_br_chart_template"
"68","IPI 22%","IPI 22%","vat","l10n_br_chart_template"
"69","IPI 25%","IPI 25%","vat","l10n_br_chart_template"
"70","IPI 25%","IPI 25%","vat","l10n_br_chart_template"
"71","IPI 27%","IPI 27%","vat","l10n_br_chart_template"
"72","IPI 27%","IPI 27%","vat","l10n_br_chart_template"
"73","IPI 30%","IPI 30%","vat","l10n_br_chart_template"
"74","IPI 25%","IPI 35%","vat","l10n_br_chart_template"
"75","IPI 40%","IPI 40%","vat","l10n_br_chart_template"
"76","IPI 42%","IPI 42%","vat","l10n_br_chart_template"
"77","IPI 45%","IPI 45%","vat","l10n_br_chart_template"
"78","IPI 50%","IPI 50%","vat","l10n_br_chart_template"
"79","IPI 60%","IPI 60%","vat","l10n_br_chart_template"
"80","IPI 330%","IPI 330%","vat","l10n_br_chart_template"
"50","PIS","PIS","vat","l10n_br_chart_template"
"81","ICMS 18%","ICMS 18%","vat","l10n_br_chart_template"
"82","ICMS 27%","ICMS 27%","vat","l10n_br_chart_template"
"83","CSLL","CSLL","vat","l10n_br_chart_template"
"84","IRRF","IRRF","vat","l10n_br_chart_template"
"85","IRPJ","IRPJ","vat","l10n_br_chart_template"
"48","ICMS","ICMS","vat","l10n_br_chart_template"
"86","ISS","ISS","vat","l10n_br_chart_template"
