"id","code","name","version","parent_id:id"
"l10n_br_cnae_1","A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","2.0",
"l10n_br_cnae_2","1","Agricultura, pecuária e serviços relacionados","2.0","l10n_br_cnae_1"
"l10n_br_cnae_3","01.1","Produção de lavouras temporárias","2.0","l10n_br_cnae_2"
"l10n_br_cnae_4","01.11-3","Cultivo de cereais","2.0","l10n_br_cnae_3"
"l10n_br_cnae_5","01.11-3/01","Cultivo de arroz","2.0","l10n_br_cnae_4"
"l10n_br_cnae_6","01.11-3/02","Cultivo de milho","2.0","l10n_br_cnae_4"
"l10n_br_cnae_7","01.11-3/03","Cultivo de trigo","2.0","l10n_br_cnae_4"
"l10n_br_cnae_8","01.11-3/99","Cultivo de outros cereais não especificados anteriormente","2.0","l10n_br_cnae_4"
"l10n_br_cnae_9","01.12-1","Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","2.0","l10n_br_cnae_2"
"l10n_br_cnae_10","01.12-1/01","Cultivo de algodão herbáceo","2.0","l10n_br_cnae_9"
"l10n_br_cnae_11","011.2-1/02","Cultivo de juta","2.0","l10n_br_cnae_9"
"l10n_br_cnae_12","011.2-1/99","Cultivo de outras fibras de lavoura temporária não especificadas anteriormente","2.0","l10n_br_cnae_9"
"l10n_br_cnae_13","01.13-0","Cultivo de cana-de-açúcar","2.0","l10n_br_cnae_2"
"l10n_br_cnae_14","0113-0/00","Cultivo de cana-de-açúcar","2.0","l10n_br_cnae_13"
"l10n_br_cnae_15","01.14-8","Cultivo de fumo","2.0","l10n_br_cnae_2"
"l10n_br_cnae_16","0114-8/00","Cultivo de fumo","2.0","l10n_br_cnae_15"
"l10n_br_cnae_17","01.15-6","Cultivo de soja","2.0","l10n_br_cnae_2"
"l10n_br_cnae_18","0115-6/00","Cultivo de soja","2.0","l10n_br_cnae_17"
"l10n_br_cnae_19","01.16-4","Cultivo de oleaginosas de lavoura temporária, exceto soja","2.0","l10n_br_cnae_2"
"l10n_br_cnae_20","01.16-4/01","Cultivo de amendoim","2.0","l10n_br_cnae_19"
"l10n_br_cnae_21","01.16-4/02","Cultivo de girassol","2.0","l10n_br_cnae_19"
"l10n_br_cnae_22","01.16-4/03","Cultivo de mamona","2.0","l10n_br_cnae_19"
"l10n_br_cnae_23","01.16-4/99","Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente","2.0","l10n_br_cnae_19"
"l10n_br_cnae_24","01.19-9","Cultivo de plantas de lavoura temporária não especificadas anteriormente","2.0","l10n_br_cnae_2"
"l10n_br_cnae_25","01.19-9/01","Cultivo de abacaxi","2.0","l10n_br_cnae_24"
"l10n_br_cnae_26","01.19-9/02","Cultivo de alho","2.0","l10n_br_cnae_24"
"l10n_br_cnae_27","01.19-9/03","Cultivo de batata-inglesa","2.0","l10n_br_cnae_24"
"l10n_br_cnae_28","01.19-9/04","Cultivo de cebola","2.0","l10n_br_cnae_24"
"l10n_br_cnae_29","01.19-9/05","Cultivo de feijão","2.0","l10n_br_cnae_24"
"l10n_br_cnae_30","01.19-9/06","Cultivo de mandioca","2.0","l10n_br_cnae_24"
"l10n_br_cnae_31","01.19-9/07","Cultivo de melão","2.0","l10n_br_cnae_24"
"l10n_br_cnae_32","01.19-9/08","Cultivo de melancia","2.0","l10n_br_cnae_24"
"l10n_br_cnae_33","01.19-9/09","Cultivo de tomate rasteiro","2.0","l10n_br_cnae_24"
"l10n_br_cnae_34","01.19-9/99","Cultivo de outras plantas de lavoura temporária não especificadas anteriormente","2.0","l10n_br_cnae_24"
"l10n_br_cnae_35","01.2","Horticultura e floricultura","2.0","l10n_br_cnae_2"
"l10n_br_cnae_36","01.21-1","Horticultura","2.0","l10n_br_cnae_35"
"l10n_br_cnae_37","0121-1/01","Horticultura, exceto morango","2.0","l10n_br_cnae_36"
"l10n_br_cnae_38","0121-1/02","Cultivo de morango","2.0","l10n_br_cnae_36"
"l10n_br_cnae_39","01.22-9","Cultivo de flores e plantas ornamentais","2.0","l10n_br_cnae_35"
"l10n_br_cnae_40","0122-9/00","Cultivo de flores e plantas ornamentais","2.0","l10n_br_cnae_39"
"l10n_br_cnae_41","01.3","Produção de lavouras permanentes","2.0","l10n_br_cnae_2"
"l10n_br_cnae_42","01.31-8","Cultivo de laranja","2.0","l10n_br_cnae_41"
"l10n_br_cnae_43","0131-8/00","Cultivo de laranja","2.0","l10n_br_cnae_42"
