"id","fiscal_tax_group_id"
"tax_group_ipi","l10n_br_fiscal.tax_group_ipi"
"tax_group_ii","l10n_br_fiscal.tax_group_ii"
"tax_group_icms","l10n_br_fiscal.tax_group_icms"
"tax_group_icmssn","l10n_br_fiscal.tax_group_icmssn"
"tax_group_icmsst","l10n_br_fiscal.tax_group_icmsst"
"tax_group_icmsfcp","l10n_br_fiscal.tax_group_icmsfcp"
"tax_group_pis","l10n_br_fiscal.tax_group_pis"
"tax_group_pisst","l10n_br_fiscal.tax_group_pisst"
"tax_group_pis_wh","l10n_br_fiscal.tax_group_pis_wh"
"tax_group_cofins","l10n_br_fiscal.tax_group_cofins"
"tax_group_cofinsst","l10n_br_fiscal.tax_group_cofinsst"
"tax_group_cofins_wh","l10n_br_fiscal.tax_group_cofins_wh"
"tax_group_issqn","l10n_br_fiscal.tax_group_issqn"
"tax_group_issqn_wh","l10n_br_fiscal.tax_group_issqn_wh"
"tax_group_csll","l10n_br_fiscal.tax_group_csll"
"tax_group_csll_wh","l10n_br_fiscal.tax_group_csll_wh"
"tax_group_ir","l10n_br_fiscal.tax_group_ir"
"tax_group_irpj","l10n_br_fiscal.tax_group_irpj"
"tax_group_irpj_wh","l10n_br_fiscal.tax_group_irpj_wh"
"tax_group_inss","l10n_br_fiscal.tax_group_inss"
"tax_group_inss_wh","l10n_br_fiscal.tax_group_inss_wh"
"tax_group_simples","l10n_br_fiscal.tax_group_simples"
"tax_group_others","l10n_br_fiscal.tax_group_others"
