"id","code","description","gen_liquidation_move","cnab_structure_id/id"
"cnab_occurrence_00_itau_240","00","PAGAMENTO EFETUADO","TRUE","l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AE_itau_240","AE","DATA DE PAGAMENTO ALTERADA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AG_itau_240","AG","NÚMERO DO LOTE INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AH_itau_240","AH","NÚMERO SEQUENCIAL DO REGISTRO NO LOTE INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AI_itau_240","AI","PRODUTO DEMONSTRATIVO DE PAGAMENTO NÃO CONTRATADO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AJ_itau_240","AJ","TIPO DE MOVIMENTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AL_itau_240","AL","CÓDIGO DO BANCO FAVORECIDO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AM_itau_240","AM","AGÊNCIA DO FAVORECIDO INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AN_itau_240","AN","CONTA CORRENTE DO FAVORECIDO INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AO_itau_240","AO","NOME DO FAVORECIDO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AP_itau_240","AP","DATA DE PAGAMENTO / DATA DE VALIDADE / HORA DE LANÇAMENTO / ARRECADAÇÃO / APURAÇÃO INVÁLIDA",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AQ_itau_240","AQ","QUANTIDADE DE REGISTROS MAIOR QUE 999999",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_AR_itau_240","AR","VALOR ARRECADADO / LANÇAMENTO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_BC_itau_240","BC","NOSSO NÚMERO INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_BD_itau_240","BD","PAGAMENTO AGENDADO",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_BE_itau_240","BE","PAGAMENTO AGENDADO COM FORMA ALTERADA PARA OP",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_BI_itau_240","BI","CNPJ / CPF DO FAVORECIDO NO SEGMENTO J-52 ou B INVÁLIDO / DOCUMENTO FAVORECIDO INVÁLIDO PIX",,"l10n_br_cnab_structure.cnab_itau_240"
"cnab_occurrence_BL_itau_240","BL","VALOR DA PARCELA INVÁLIDO",,"l10n_br_cnab_structure.cnab_itau_240"
