id,name,applicability,country_id:id
l10n_br_coa.tax_tag_ipi,IPI,taxes,base.br
l10n_br_coa.tax_tag_ii,II,taxes,base.br
l10n_br_coa.tax_tag_icms,ICMS,taxes,base.br
l10n_br_coa.tax_tag_icmssn,ICMS SN,taxes,base.br
l10n_br_coa.tax_tag_icmsst,ICMS ST,taxes,base.br
l10n_br_coa.tax_tag_icmsfcp,ICMS FCP,taxes,base.br
l10n_br_coa.tax_tag_icmsfcp_st,ICMS FCP ST,taxes,base.br
l10n_br_coa.tax_tag_pis,PIS,taxes,base.br
l10n_br_coa.tax_tag_pisst,PIS ST,taxes,base.br
l10n_br_coa.tax_tag_pis_wh,PIS WH,taxes,base.br
l10n_br_coa.tax_tag_cofins,COFINS,taxes,base.br
l10n_br_coa.tax_tag_cofinsst,COFINS ST,taxes,base.br
l10n_br_coa.tax_tag_cofins_wh,COFINS WH,taxes,base.br
l10n_br_coa.tax_tag_issqn,ISSQN,taxes,base.br
l10n_br_coa.tax_tag_issqn_wh,ISSQN WH,taxes,base.br
l10n_br_coa.tax_tag_csll,CSLL,taxes,base.br
l10n_br_coa.tax_tag_csll_wh,CSLL WH,taxes,base.br
l10n_br_coa.tax_tag_ir,IR,taxes,base.br
l10n_br_coa.tax_tag_irpj,IRPJ,taxes,base.br
l10n_br_coa.tax_tag_irpj_wh,IRPJ WH,taxes,base.br
l10n_br_coa.tax_tag_inss,INSS,taxes,base.br
l10n_br_coa.tax_tag_inss_wh,INSS WH,taxes,base.br
l10n_br_coa.tax_tag_ibs,IBS,taxes,base.br
l10n_br_coa.tax_tag_cbs,CBS,taxes,base.br
l10n_br_coa.tax_tag_is,IS,taxes,base.br
l10n_br_coa.tax_tag_simples,Simples Nacional,taxes,base.br
l10n_br_coa.tax_tag_others,Others,taxes,base.br
l10n_br_coa.account_tag_current_assets_cash,Ativo / Circulante / Caixa e Equivalentes de Caixa,accounts,base.br
l10n_br_coa.account_tag_current_assets_receivable,Ativo / Circulante / Contas a Receber,accounts,base.br
l10n_br_coa.account_tag_current_assets_receivable_loss,Ativo / Circulante / (-) Perdas Estimadas com Créditos de Liquidação Duvidosa,accounts,base.br
l10n_br_coa.account_tag_current_assets_stock,Ativo / Circulante / Estoques,accounts,base.br
l10n_br_coa.account_tag_current_assets_other_credits,Ativo / Circulante / Outros Créditos,accounts,base.br
l10n_br_coa.account_tag_non_current_assets_receivable,Ativo / Não Circulante / Realizável a Longo Prazo,accounts,base.br
l10n_br_coa.account_tag_non_current_investments,Ativo / Não Circulante / Investimentos,accounts,base.br
l10n_br_coa.account_tag_fixed_assets,Ativo / Não Circulante / Imobilizado,accounts,base.br
l10n_br_coa.account_tag_fixed_assets_depreciation,Ativo / Não Circulante / (-) Depreciação,accounts,base.br
l10n_br_coa.account_tag_intangible_assets,Ativo / Não Circulante / Intangível,accounts,base.br
l10n_br_coa.account_tag_intangible_assets_amortization,Ativo / Não Circulante / (-) Amortização,accounts,base.br
l10n_br_coa.account_tag_current_liabilities_suppliers,Passivo / Circulante / Fornecedores,accounts,base.br
l10n_br_coa.account_tag_current_liabilities_financial,Passivo / Circulante / Empréstimos e Financiamentos,accounts,base.br
l10n_br_coa.account_tag_current_liabilities_fiscal,Passivo / Circulante / Obrigações Fiscais,accounts,base.br
l10n_br_coa.account_tag_current_liabilities_labor,Passivo / Circulante / Obrigações Trabalhistas,accounts,base.br
l10n_br_coa.account_tag_current_liabilities_payable,Passivo / Circulante / Contas a Pagar,accounts,base.br
l10n_br_coa.account_tag_current_liabilities_reserve,Passivo / Circulante / Provisões,accounts,base.br
l10n_br_coa.account_tag_non_current_liabilities,Passivo / Não Circulante / Contas a Pagar,accounts,base.br
l10n_br_coa.account_tag_non_current_liabilities_loan,Passivo / Não Circulante / Financiamentos,accounts,base.br
l10n_br_coa.account_tag_equity_capital,Patrimônio Líquido / Capital Social,accounts,base.br
l10n_br_coa.account_tag_equity_capital_reserve,Patrimônio Líquido / Reservas de Capital,accounts,base.br
l10n_br_coa.account_tag_equity_profit_reserve,Patrimônio Líquido / Reservas de Lucros,accounts,base.br
l10n_br_coa.account_tag_equity_accumulated_profits,Patrimônio Líquido / Lucros Acumulados,accounts,base.br
l10n_br_coa.account_tag_equity_accumulated_losses,Patrimônio Líquido / (-) Prejuízos Acumulados,accounts,base.br
l10n_br_coa.account_tag_revenue,Resultado / Receita Bruta de Vendas e Serviços,accounts,base.br
l10n_br_coa.account_tag_revenue_deduction,Resultado / (-) Deduções da Receita Bruta,accounts,base.br
l10n_br_coa.account_tag_direct_costs,Resultado / (-) Custo das Vendas,accounts,base.br
l10n_br_coa.account_tag_admin_expenses,Resultado / (-) Despesas Administrativas,accounts,base.br
l10n_br_coa.account_tag_sale_expenses,Resultado / (-) Despesas com Vendas,accounts,base.br
l10n_br_coa.account_tag_other_general_expenses,Resultado / (-) Outras Despesas Gerais,accounts,base.br
l10n_br_coa.account_tag_revenue_financial,Resultado / Receitas Financeiras,accounts,base.br
l10n_br_coa.account_tag_expenses_financial,Resultado / (-) Despesas Financeiras,accounts,base.br
l10n_br_coa.account_tag_other_operating_results,Resultado / Outras Receitas e Despesas Operacionais,accounts,base.br
l10n_br_coa.account_tag_expense_csll,Resultado / (-) Contribuição Social sobre o Lucro Líquido,accounts,base.br
l10n_br_coa.account_tag_expense_irpj,Resultado / (-) Imposto de Renda da Pessoa Jurídica,accounts,base.br
l10n_br_coa.account_tag_compensation_assets,Compensação / Ativo,accounts,base.br
l10n_br_coa.account_tag_compensation_liability,Compensação / Passivo,accounts,base.br
l10n_br_coa.account_tag_production_cost,Custos de Produção / Apropriação,accounts,base.br
l10n_br_coa.account_tag_production_transfer,Custos de Produção / (-) Transferência para Estoque,accounts,base.br
l10n_br_coa.account_tag_result,Resultado / Contas de Resultado (todas),accounts,base.br
