"id","invoice_label","name","description","amount","type_tax_use","price_include","deductible","withholdable","tax_group_id"
"tax_template_out_ipi","IPI","IPI Saída","IPI Saída","0.00","sale","0","0","0","tax_group_ipi"
"tax_template_in_ipi","IPI","IPI Entrada","IPI Entrada","0.00","purchase","0","0","0","tax_group_ipi"
"tax_template_in_ipi_deductible","IPI","IPI Entrada Dedutível","IPI Entrada Dedutível","0.00","purchase","0","1","0","tax_group_ipi"
"tax_template_out_ipi_deductible","IPI","IPI Saída Dedutível","IPI Saída Dedutível","0.00","sale","0","1","0","tax_group_ipi"
"tax_template_out_ii","II","II Saída","II Saída","0.00","sale","0","0","0","tax_group_ii"
"tax_template_in_ii","II","II Entrada","II Entrada","0.00","purchase","0","0","0","tax_group_ii"
"tax_template_ii_in_deductible","II","II Entrada Dedutível","II Entrada Dedutível","0.00","purchase","0","1","0","tax_group_ii"
"tax_template_ii_out_deductible","II","II Saída Dedutível","II Saída Dedutível","0.00","sale","0","1","0","tax_group_ii"
"tax_template_out_icms","ICMS","ICMS Saída","ICMS Saída","0.00","sale","0","0","0","tax_group_icms"
"tax_template_in_icms","ICMS","ICMS Entrada","ICMS Entrada","0.00","purchase","0","0","0","tax_group_icms"
"tax_template_icms_in_deductible","ICMS","ICMS Entrada Dedutível","ICMS Entrada Dedutível","0.00","purchase","0","1","0","tax_group_icms"
"tax_template_icms_out_deductible","ICMS","ICMS Saída Dedutível","ICMS Saída Dedutível","0.00","sale","0","1","0","tax_group_icms"
"tax_template_out_icmssn","ICMS SN","ICMS SN Saída","ICMS SN Saída","0.00","sale","0","0","0","tax_group_icmssn"
"tax_template_in_icmssn","ICMS SN","ICMS SN Entrada","ICMS SN Entrada","0.00","purchase","0","0","0","tax_group_icmssn"
"tax_template_out_icms_subist","ICMS Subist","ICMS Saída Subist","ICMS Saída Subist","0.00","sale","0","0","0","tax_group_icmsst"
"tax_template_in_icms_subist","ICMS Subist","ICMS Entrada Subist","ICMS Entrada Subist","0.00","purchase","0","0","0","tax_group_icmsst"
"tax_template_out_icmsfcp","ICMS FCP","ICMS Saída FCP","ICMS Saída FCP","0.00","sale","0","0","0","tax_group_icmsfcp"
"tax_template_in_icmsfcp","ICMS FCP","ICMS Entrada FCP","ICMS Entrada FCP","0.00","purchase","0","0","0","tax_group_icmsfcp"
"tax_template_out_icmsfcp_st","ICMS FCP ST","ICMS Saída FCP ST","ICMS Saída FCP ST","0.00","sale","0","0","0","tax_group_icmsfcp_st"
"tax_template_in_icmsfcp_st","ICMS FCP ST","ICMS Entrada FCP ST","ICMS Entrada FCP ST","0.00","purchase","0","0","0","tax_group_icmsfcp_st"
"tax_template_out_pis","PIS","PIS Saída","PIS Saída","0.00","sale","0","0","0","tax_group_pis"
"tax_template_out_pisst","PIS ST","PIS ST Saída","PIS ST Saída","0.00","sale","0","0","0","tax_group_pisst"
"tax_template_out_pis_wh","PIS WH","PIS WH Saída","PIS WH Saída","0.00","sale","0","0","1","tax_group_pis_wh"
"tax_template_in_pis","PIS","PIS Entrada","PIS Entrada","0.00","purchase","0","0","0","tax_group_pis"
"tax_template_in_pisst","PIS ST","PIS ST Entrada","PIS ST Entrada","0.00","purchase","0","0","0","tax_group_pisst"
"tax_template_in_pis_wh","PIS WH","PIS WH Entrada","PIS WH Entrada","0.00","purchase","0","0","1","tax_group_pis_wh"
"tax_template_in_pis_deductible","PIS","PIS Entrada Dedutível","PIS Entrada Dedutível","0.00","purchase","0","1","0","tax_group_pis"
"tax_template_out_pis_deductible","PIS","PIS Saída Dedutível","PIS Saída Dedutível","0.00","sale","0","1","0","tax_group_pis"
"tax_template_out_cofins","COFINS","COFINS Saída","COFINS Saída","0.00","sale","0","0","0","tax_group_cofins"
"tax_template_out_cofinsst","COFINS ST","COFINS ST Saída","COFINS ST Saída","0.00","sale","0","0","0","tax_group_cofinsst"
"tax_template_out_cofins_wh","COFINS WH","COFINS WH Saída","COFINS WH Saída","0.00","sale","0","0","1","tax_group_cofins_wh"
"tax_template_in_cofins","COFINS","COFINS Entrada","COFINS Entrada","0.00","purchase","0","0","0","tax_group_cofins"
"tax_template_in_cofinsst","COFINS ST","COFINS ST Entrada","COFINS ST Entrada","0.00","purchase","0","0","0","tax_group_cofinsst"
"tax_template_in_cofins_wh","COFINS WH","COFINS WH Entrada","COFINS WH Entrada","0.00","purchase","0","0","1","tax_group_cofins_wh"
"tax_template_cofins_in_deductible","COFINS","COFINS Entrada Dedutível","COFINS Entrada Dedutível","0.00","purchase","0","1","0","tax_group_cofins"
"tax_template_cofins_out_deductible","COFINS","COFINS Saída Dedutível","COFINS Saída Dedutível","0.00","sale","0","1","0","tax_group_cofins"
"tax_template_out_issqn","ISSQN","ISSQN Saída","ISSQN Saída","0.00","sale","0","0","0","tax_group_issqn"
"tax_template_out_issqn_deductible","ISSQN","ISSQN Saída Dedutível","ISSQN Saída Dedutível","0.00","sale","0","1","0","tax_group_issqn"
"tax_template_out_issqn_wh","ISSQN WH","ISSQN WH Saída","ISSQN WH Saída","0.00","sale","0","0","1","tax_group_issqn_wh"
"tax_template_in_issqn","ISSQN","ISSQN Entrada","ISSQN Entrada","0.00","purchase","0","0","0","tax_group_issqn"
"tax_template_in_issqn_deductible","ISSQN","ISSQN Entrada Dedutível","ISSQN Entrada Dedutível","0.00","purchase","0","1","0","tax_group_issqn"
"tax_template_in_issqn_wh","ISSQN WH","ISSQN WH Entrada","ISSQN WH Entrada","0.00","purchase","0","0","1","tax_group_issqn_wh"
"tax_template_out_irpj","IRPJ","IRPJ Saída","IRPJ","0.00","sale","0","0","0","tax_group_irpj"
