"id","tax_group_id:id","account_id:id","refund_account_id:id",ded_account_id:id,ded_refund_account_id:id,chart_template_id:id
"l10n_br_coa_generic.account_tax_group_account_template_icms","l10n_br_coa.tax_group_icms","l10n_br_coa_generic.coa_generic_217103","l10n_br_coa_generic.coa_generic_114102",l10n_br_coa_generic.coa_generic_611203,l10n_br_coa_generic.coa_generic_611223,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_ipi","l10n_br_coa.tax_group_ipi","l10n_br_coa_generic.coa_generic_217102","l10n_br_coa_generic.coa_generic_114101","l10n_br_coa_generic.coa_generic_611208","l10n_br_coa_generic.coa_generic_611228",l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_pis","l10n_br_coa.tax_group_pis","l10n_br_coa_generic.coa_generic_217105","l10n_br_coa_generic.coa_generic_114105",l10n_br_coa_generic.coa_generic_611206,l10n_br_coa_generic.coa_generic_611226,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_confins","l10n_br_coa.tax_group_cofins","l10n_br_coa_generic.coa_generic_217104","l10n_br_coa_generic.coa_generic_114104",l10n_br_coa_generic.coa_generic_611205,l10n_br_coa_generic.coa_generic_611225,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_issqn","l10n_br_coa.tax_group_issqn","l10n_br_coa_generic.coa_generic_217108","l10n_br_coa_generic.coa_generic_114109",l10n_br_coa_generic.coa_generic_611204,l10n_br_coa_generic.coa_generic_611224,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_csll","l10n_br_coa.tax_group_csll","l10n_br_coa_generic.coa_generic_217107","l10n_br_coa_generic.coa_generic_114107",l10n_br_coa_generic.coa_generic_611209,l10n_br_coa_generic.coa_generic_611229,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_irpj","l10n_br_coa.tax_group_irpj","l10n_br_coa_generic.coa_generic_217106","l10n_br_coa_generic.coa_generic_114106",l10n_br_coa_generic.coa_generic_611210,l10n_br_coa_generic.coa_generic_611230,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_ii","l10n_br_coa.tax_group_ii","l10n_br_coa_generic.coa_generic_217113","l10n_br_coa_generic.coa_generic_114110",l10n_br_coa_generic.coa_generic_611211,l10n_br_coa_generic.coa_generic_611231,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_pis_wh","l10n_br_coa.tax_group_pis_wh","l10n_br_coa_generic.coa_generic_217105","l10n_br_coa_generic.coa_generic_114105",,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_confins_wh","l10n_br_coa.tax_group_cofins_wh","l10n_br_coa_generic.coa_generic_217104","l10n_br_coa_generic.coa_generic_114104",,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_issqn_wh","l10n_br_coa.tax_group_issqn_wh","l10n_br_coa_generic.coa_generic_217108","l10n_br_coa_generic.coa_generic_114109",,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_csll_wh","l10n_br_coa.tax_group_csll_wh","l10n_br_coa_generic.coa_generic_217107","l10n_br_coa_generic.coa_generic_114107",,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_irpj_wh","l10n_br_coa.tax_group_irpj_wh","l10n_br_coa_generic.coa_generic_217106","l10n_br_coa_generic.coa_generic_114106",,,l10n_br_coa_generic_template
"l10n_br_coa_generic.account_tax_group_account_template_inss_wh","l10n_br_coa.tax_group_inss_wh","l10n_br_coa_generic.coa_generic_216101","l10n_br_coa_generic.coa_generic_114111",,,l10n_br_coa_generic_template
