"id","code","name","note","group_id:id","user_type_id:id","reconcile","chart_template_id:id"
"account_template_11101","1.1.1.01","Caixa",,"account_group_111","account.data_account_type_liquidity","1","l10n_br_coa_simple_chart_template"
"account_template_11201","1.1.2.01","Clientes",,"account_group_112","account.data_account_type_receivable","1","l10n_br_coa_simple_chart_template"
"account_template_11202","1.1.2.02","(-) Perdas Estimadas com Créditos de Liquidação Duvidosa",,"account_group_112","l10n_br_coa.data_account_type_current_assets_receivable_loss","0","l10n_br_coa_simple_chart_template"
"account_template_11301","1.1.3.01","Mercadorias",,"account_group_113","l10n_br_coa.data_account_type_current_assets_stock","0","l10n_br_coa_simple_chart_template"
"account_template_11302","1.1.3.02","Produtos Acabados",,"account_group_113","l10n_br_coa.data_account_type_current_assets_stock","0","l10n_br_coa_simple_chart_template"
"account_template_11303","1.1.3.03","Insumos",,"account_group_113","l10n_br_coa.data_account_type_current_assets_stock","0","l10n_br_coa_simple_chart_template"
"account_template_11401","1.1.4.01","Títulos a Receber",,"account_group_114","l10n_br_coa.data_account_type_current_assets_other_credits","1","l10n_br_coa_simple_chart_template"
"account_template_11402","1.1.4.02","Impostos a Recuperar",,"account_group_114","l10n_br_coa.data_account_type_current_assets_other_credits","1","l10n_br_coa_simple_chart_template"
"account_template_11403","1.1.4.03","Outros Valores a Receber",,"account_group_114","l10n_br_coa.data_account_type_current_assets_other_credits","1","l10n_br_coa_simple_chart_template"
"account_template_13101","1.3.1.01","Contas a Receber",,"account_group_131","l10n_br_coa.data_account_type_non_current_assets_receivable","1","l10n_br_coa_simple_chart_template"
"account_template_13102","1.3.1.02","(-) Perdas Estimadas com Créditos de Liquidação Duvidosa",,"account_group_131","l10n_br_coa.data_account_type_non_current_assets_receivable","1","l10n_br_coa_simple_chart_template"
"account_template_13201","1.3.2.01","Participações Societárias",,"account_group_132","l10n_br_coa.data_account_type_non_current_investments","0","l10n_br_coa_simple_chart_template"
"account_template_13202","1.3.2.02","Outros Investimentos",,"account_group_132","l10n_br_coa.data_account_type_non_current_investments","0","l10n_br_coa_simple_chart_template"
"account_template_13301","1.3.3.01","Terrenos",,"account_group_133","account.data_account_type_fixed_assets","0","l10n_br_coa_simple_chart_template"
"account_template_13302","1.3.3.02","Edificações",,"account_group_133","account.data_account_type_fixed_assets","0","l10n_br_coa_simple_chart_template"
"account_template_13303","1.3.3.03","Máquinas e Equipamentos",,"account_group_133","account.data_account_type_fixed_assets","0","l10n_br_coa_simple_chart_template"
"account_template_13304","1.3.3.04","Veículos",,"account_group_133","account.data_account_type_fixed_assets","0","l10n_br_coa_simple_chart_template"
"account_template_13305","1.3.3.05","Móveis e Utensílios",,"account_group_133","account.data_account_type_fixed_assets","0","l10n_br_coa_simple_chart_template"
"account_template_13306","1.3.3.06","(-) Depreciação Acumulada",,"account_group_133","account.data_account_type_depreciation","0","l10n_br_coa_simple_chart_template"
"account_template_13401","1.3.4.01","Softwares",,"account_group_134","l10n_br_coa.data_account_type_intangible_assets","0","l10n_br_coa_simple_chart_template"
"account_template_13402","1.3.4.02","(-) Amortização Acumulada",,"account_group_134","l10n_br_coa.data_account_type_fixed_assets_amortization","0","l10n_br_coa_simple_chart_template"
"account_template_21101","2.1.1.01","Fornecedor",,"account_group_211","account.data_account_type_payable","1","l10n_br_coa_simple_chart_template"
"account_template_21201","2.1.2.01","Empréstimos Bancários",,"account_group_212","l10n_br_coa.data_account_type_current_liabilities_financial","0","l10n_br_coa_simple_chart_template"
"account_template_21202","2.1.2.02","Financiamentos",,"account_group_212","l10n_br_coa.data_account_type_current_liabilities_financial","0","l10n_br_coa_simple_chart_template"
"account_template_21301","2.1.3.01","Simples Nacional",,"account_group_213","l10n_br_coa.data_account_type_current_liabilities_fiscal","0","l10n_br_coa_simple_chart_template"
"account_template_21302","2.1.3.02","ICMS a Recolher",,"account_group_213","l10n_br_coa.data_account_type_current_liabilities_fiscal","0","l10n_br_coa_simple_chart_template"
"account_template_21303","2.1.3.03","ISSQN a Recolher",,"account_group_213","l10n_br_coa.data_account_type_current_liabilities_fiscal","0","l10n_br_coa_simple_chart_template"
"account_template_21304","2.1.3.04","IPI a Recolher",,"account_group_213","l10n_br_coa.data_account_type_current_liabilities_fiscal","0","l10n_br_coa_simple_chart_template"
"account_template_21305","2.1.3.05","PIS A RECUPERAR",,"account_group_213","l10n_br_coa.data_account_type_current_liabilities_fiscal","0","l10n_br_coa_simple_chart_template"
"account_template_21306","2.1.3.06","COFINS A RECUPERAR",,"account_group_213","l10n_br_coa.data_account_type_current_liabilities_fiscal","0","l10n_br_coa_simple_chart_template"
"account_template_21401","2.1.4.01","Salários a Pagar",,"account_group_214","l10n_br_coa.data_account_type_current_liabilities_labor","0","l10n_br_coa_simple_chart_template"
"account_template_21402","2.1.4.02","FGTS a Recolher",,"account_group_214","l10n_br_coa.data_account_type_current_liabilities_labor","0","l10n_br_coa_simple_chart_template"
"account_template_21403","2.1.4.03","INSS dos Segurados a Recolher",,"account_group_214","l10n_br_coa.data_account_type_current_liabilities_labor","0","l10n_br_coa_simple_chart_template"
"account_template_21501","2.1.5.01","Telefone a Pagar",,"account_group_215","account.data_account_type_current_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21502","2.1.5.02","Energia a Pagar",,"account_group_215","account.data_account_type_current_liabilities","0","l10n_br_coa_simple_chart_template"
"account_template_21503","2.1.5.03","Aluguel a Pagar",,"account_group_215","account.data_account_type_current_liabilities","0","l10n_br_coa_simple_chart_template"
