id,name,state_id,ibge_code
city_1,Alta Floresta D'Oeste,state_1,00015
city_10,Guajará-Mirim,state_1,00106
city_100,Humaitá,state_3,01704
city_1000,Milagres,state_10,08302
city_1001,Milhã,state_10,08351
city_1002,Miraíma,state_10,08377
city_1003,Missão Velha,state_10,08401
city_1004,Mombaça,state_10,08500
city_1005,Monsenhor Tabosa,state_10,08609
city_1006,Morada Nova,state_10,08708
city_1007,Moraújo,state_10,08807
city_1008,Morrinhos,state_10,08906
city_1009,Mucambo,state_10,09003
city_101,Ipixuna,state_3,01803
city_1010,Mulungu,state_10,09102
city_1011,Nova Olinda,state_10,09201
city_1012,Nova Russas,state_10,09300
city_1013,Novo Oriente,state_10,09409
city_1014,Ocara,state_10,09458
city_1015,Orós,state_10,09508
city_1016,Pacajus,state_10,09607
city_1017,Pacatuba,state_10,09706
city_1018,Pacoti,state_10,09805
city_1019,Pacujá,state_10,09904
city_102,Iranduba,state_3,01852
city_1020,Palhano,state_10,10001
city_1021,Palmácia,state_10,10100
city_1022,Paracuru,state_10,10209
city_1023,Paraipaba,state_10,10258
city_1024,Parambu,state_10,10308
city_1025,Paramoti,state_10,10407
city_1026,Pedra Branca,state_10,10506
city_1027,Penaforte,state_10,10605
city_1028,Pentecoste,state_10,10704
city_1029,Pereiro,state_10,10803
city_103,Itacoatiara,state_3,01902
city_1030,Pindoretama,state_10,10852
city_1031,Piquet Carneiro,state_10,10902
city_1032,Pires Ferreira,state_10,10951
city_1033,Poranga,state_10,11009
city_1034,Porteiras,state_10,11108
city_1035,Potengi,state_10,11207
city_1036,Potiretama,state_10,11231
city_1037,Quiterianópolis,state_10,11264
city_1038,Quixadá,state_10,11306
city_1039,Quixelô,state_10,11355
city_104,Itamarati,state_3,01951
city_1040,Quixeramobim,state_10,11405
city_1041,Quixeré,state_10,11504
city_1042,Redenção,state_10,11603
city_1043,Reriutaba,state_10,11702
city_1044,Russas,state_10,11801
city_1045,Saboeiro,state_10,11900
city_1046,Salitre,state_10,11959
city_1047,Santana do Acaraú,state_10,12007
city_1048,Santana do Cariri,state_10,12106
city_1049,Santa Quitéria,state_10,12205
city_105,Itapiranga,state_3,02009
city_1050,São Benedito,state_10,12304
city_1051,São Gonçalo do Amarante,state_10,12403
city_1052,São João do Jaguaribe,state_10,12502
city_1053,São Luís do Curu,state_10,12601
city_1054,Senador Pompeu,state_10,12700
city_1055,Senador Sá,state_10,12809
city_1056,Sobral,state_10,12908
city_1057,Solonópole,state_10,13005
city_1058,Tabuleiro do Norte,state_10,13104
city_1059,Tamboril,state_10,13203
city_106,Japurá,state_3,02108
city_1060,Tarrafas,state_10,13252
city_1061,Tauá,state_10,13302
city_1062,Tejuçuoca,state_10,13351
city_1063,Tianguá,state_10,13401
city_1064,Trairi,state_10,13500
city_1065,Tururu,state_10,13559
city_1066,Ubajara,state_10,13609
city_1067,Umari,state_10,13708
city_1068,Umirim,state_10,13757
city_1069,Uruburetama,state_10,13807
city_107,Juruá,state_3,02207
city_1070,Uruoca,state_10,13906
city_1071,Varjota,state_10,13955
city_1072,Várzea Alegre,state_10,14003
city_1073,Viçosa do Ceará,state_10,14102
city_1074,Acari,state_11,00109
city_1075,Açu,state_11,00208
city_1076,Afonso Bezerra,state_11,00307
city_1077,Água Nova,state_11,00406
city_1078,Alexandria,state_11,00505
city_1079,Almino Afonso,state_11,00604
city_108,Jutaí,state_3,02306
city_1080,Alto do Rodrigues,state_11,00703
city_1081,Angicos,state_11,00802
city_1082,Antônio Martins,state_11,00901
city_1083,Apodi,state_11,01008
city_1084,Areia Branca,state_11,01107
city_1085,Arês,state_11,01206
city_1086,Augusto Severo,state_11,01305
city_1087,Baía Formosa,state_11,01404
city_1088,Baraúna,state_11,01453
city_1089,Barcelona,state_11,01503
city_109,Lábrea,state_3,02405
city_1090,Bento Fernandes,state_11,01602
city_1091,Bodó,state_11,01651
city_1092,Bom Jesus,state_11,01701
city_1093,Brejinho,state_11,01800
city_1094,Caiçara do Norte,state_11,01859
city_1095,Caiçara do Rio do Vento,state_11,01909
city_1096,Caicó,state_11,02006
city_1097,Campo Redondo,state_11,02105
city_1098,Canguaretama,state_11,02204
city_1099,Caraúbas,state_11,02303
city_11,Jaru,state_1,00114
city_110,Manacapuru,state_3,02504
city_1100,Carnaúba dos Dantas,state_11,02402
city_1101,Carnaubais,state_11,02501
city_1102,Ceará-Mirim,state_11,02600
city_1103,Cerro Corá,state_11,02709
city_1104,Coronel Ezequiel,state_11,02808
city_1105,Coronel João Pessoa,state_11,02907
city_1106,Cruzeta,state_11,03004
city_1107,Currais Novos,state_11,03103
city_1108,Doutor Severiano,state_11,03202
city_1109,Parnamirim,state_11,03251
city_111,Manaquiri,state_3,02553
city_1110,Encanto,state_11,03301
city_1111,Equador,state_11,03400
city_1112,Espírito Santo,state_11,03509
city_1113,Extremoz,state_11,03608
city_1114,Felipe Guerra,state_11,03707
city_1115,Fernando Pedroza,state_11,03756
city_1116,Florânia,state_11,03806
city_1117,Francisco Dantas,state_11,03905
city_1118,Frutuoso Gomes,state_11,04002
city_1119,Galinhos,state_11,04101
city_112,Manaus,state_3,02603
city_1120,Goianinha,state_11,04200
city_1121,Governador Dix-Sept Rosado,state_11,04309
city_1122,Grossos,state_11,04408
city_1123,Guamaré,state_11,04507
city_1124,Ielmo Marinho,state_11,04606
city_1125,Ipanguaçu,state_11,04705
city_1126,Ipueira,state_11,04804
city_1127,Itajá,state_11,04853
city_1128,Itaú,state_11,04903
city_1129,Jaçanã,state_11,05009
city_113,Manicoré,state_3,02702
city_1130,Jandaíra,state_11,05108
city_1131,Janduís,state_11,05207
city_1132,Januário Cicco,state_11,05306
city_1133,Japi,state_11,05405
city_1134,Jardim de Angicos,state_11,05504
city_1135,Jardim de Piranhas,state_11,05603
city_1136,Jardim do Seridó,state_11,05702
city_1137,João Câmara,state_11,05801
city_1138,João Dias,state_11,05900
city_1139,José da Penha,state_11,06007
city_114,Maraã,state_3,02801
city_1140,Jucurutu,state_11,06106
city_1141,Jundiá,state_11,06155
city_1142,Lagoa d'Anta,state_11,06205
city_1143,Lagoa de Pedras,state_11,06304
city_1144,Lagoa de Velhos,state_11,06403
city_1145,Lagoa Nova,state_11,06502
city_1146,Lagoa Salgada,state_11,06601
city_1147,Lajes,state_11,06700
city_1148,Lajes Pintadas,state_11,06809
city_1149,Lucrécia,state_11,06908
city_115,Maués,state_3,02900
city_1150,Luís Gomes,state_11,07005
city_1151,Macaíba,state_11,07104
city_1152,Macau,state_11,07203
city_1153,Major Sales,state_11,07252
city_1154,Marcelino Vieira,state_11,07302
city_1155,Martins,state_11,07401
city_1156,Maxaranguape,state_11,07500
city_1157,Messias Targino,state_11,07609
city_1158,Montanhas,state_11,07708
city_1159,Monte Alegre,state_11,07807
city_116,Nhamundá,state_3,03007
city_1160,Monte das Gameleiras,state_11,07906
city_1161,Mossoró,state_11,08003
city_1162,Natal,state_11,08102
city_1163,Nísia Floresta,state_11,08201
city_1164,Nova Cruz,state_11,08300
city_1165,Olho-d'Água do Borges,state_11,08409
city_1166,Ouro Branco,state_11,08508
city_1167,Paraná,state_11,08607
city_1168,Paraú,state_11,08706
city_1169,Parazinho,state_11,08805
city_117,Nova Olinda do Norte,state_3,03106
city_1170,Parelhas,state_11,08904
city_1171,Rio do Fogo,state_11,08953
city_1172,Passa e Fica,state_11,09100
city_1173,Passagem,state_11,09209
city_1174,Patu,state_11,09308
city_1175,Santa Maria,state_11,09332
city_1176,Pau dos Ferros,state_11,09407
city_1177,Pedra Grande,state_11,09506
city_1178,Pedra Preta,state_11,09605
city_1179,Pedro Avelino,state_11,09704
city_118,Novo Airão,state_3,03205
city_1180,Pedro Velho,state_11,09803
city_1181,Pendências,state_11,09902
city_1182,Pilões,state_11,10009
city_1183,Poço Branco,state_11,10108
city_1184,Portalegre,state_11,10207
city_1185,Porto do Mangue,state_11,10256
city_1186,Presidente Juscelino,state_11,10306
city_1187,Pureza,state_11,10405
city_1188,Rafael Fernandes,state_11,10504
city_1189,Rafael Godeiro,state_11,10603
city_119,Novo Aripuanã,state_3,03304
city_1190,Riacho da Cruz,state_11,10702
city_1191,Riacho de Santana,state_11,10801
city_1192,Riachuelo,state_11,10900
city_1193,Rodolfo Fernandes,state_11,11007
city_1194,Tibau,state_11,11056
city_1195,Ruy Barbosa,state_11,11106
city_1196,Santa Cruz,state_11,11205
city_1197,Santana do Matos,state_11,11403
city_1198,Santana do Seridó,state_11,11429
city_1199,Santo Antônio,state_11,11502
city_12,Ji-Paraná,state_1,00122
city_120,Parintins,state_3,03403
city_1200,São Bento do Norte,state_11,11601
city_1201,São Bento do Trairí,state_11,11700
city_1202,São Fernando,state_11,11809
city_1203,São Francisco do Oeste,state_11,11908
city_1204,São Gonçalo do Amarante,state_11,12005
city_1205,São João do Sabugi,state_11,12104
city_1206,São José de Mipibu,state_11,12203
city_1207,São José do Campestre,state_11,12302
city_1208,São José do Seridó,state_11,12401
city_1209,São Miguel,state_11,12500
city_121,Pauini,state_3,03502
city_1210,São Miguel do Gostoso,state_11,12559
city_1211,São Paulo do Potengi,state_11,12609
city_1212,São Pedro,state_11,12708
city_1213,São Rafael,state_11,12807
city_1214,São Tomé,state_11,12906
city_1215,São Vicente,state_11,13003
city_1216,Senador Elói de Souza,state_11,13102
city_1217,Senador Georgino Avelino,state_11,13201
city_1218,Serra de São Bento,state_11,13300
city_1219,Serra do Mel,state_11,13359
city_122,Presidente Figueiredo,state_3,03536
city_1220,Serra Negra do Norte,state_11,13409
city_1221,Serrinha,state_11,13508
city_1222,Serrinha dos Pintos,state_11,13557
city_1223,Severiano Melo,state_11,13607
city_1224,Sítio Novo,state_11,13706
city_1225,Taboleiro Grande,state_11,13805
city_1226,Taipu,state_11,13904
city_1227,Tangará,state_11,14001
city_1228,Tenente Ananias,state_11,14100
city_1229,Tenente Laurentino Cruz,state_11,14159
city_123,Rio Preto da Eva,state_3,03569
city_1230,Tibau do Sul,state_11,14209
city_1231,Timbaúba dos Batistas,state_11,14308
city_1232,Touros,state_11,14407
city_1233,Triunfo Potiguar,state_11,14456
city_1234,Umarizal,state_11,14506
city_1235,Upanema,state_11,14605
city_1236,Várzea,state_11,14704
city_1237,Venha-Ver,state_11,14753
city_1238,Vera Cruz,state_11,14803
city_1239,Viçosa,state_11,14902
city_124,Santa Isabel do Rio Negro,state_3,03601
city_1240,Vila Flor,state_11,15008
city_1241,Água Branca,state_12,00106
city_1242,Aguiar,state_12,00205
city_1243,Alagoa Grande,state_12,00304
city_1244,Alagoa Nova,state_12,00403
city_1245,Alagoinha,state_12,00502
city_1246,Alcantil,state_12,00536
city_1247,Algodão de Jandaíra,state_12,00577
city_1248,Alhandra,state_12,00601
city_1249,São João do Rio do Peixe,state_12,00700
city_125,Santo Antônio do Içá,state_3,03700
city_1250,Amparo,state_12,00734
city_1251,Aparecida,state_12,00775
city_1252,Araçagi,state_12,00809
city_1253,Arara,state_12,00908
city_1254,Araruna,state_12,01005
city_1255,Areia,state_12,01104
city_1256,Areia de Baraúnas,state_12,01153
city_1257,Areial,state_12,01203
city_1258,Aroeiras,state_12,01302
city_1259,Assunção,state_12,01351
city_126,São Gabriel da Cachoeira,state_3,03809
city_1260,Baía da Traição,state_12,01401
city_1261,Bananeiras,state_12,01500
city_1262,Baraúna,state_12,01534
city_1263,Barra de Santana,state_12,01575
city_1264,Barra de Santa Rosa,state_12,01609
city_1265,Barra de São Miguel,state_12,01708
city_1266,Bayeux,state_12,01807
