"id","state_id:id","code","street","street_type","district","city_id:id"
cep_83706010,"br_pr","83706010","Aphonso João Peretto","Rua","Capela Velha","city_3932"
cep_83707400,"br_pr","83707400","Miguel Durau","Rua","Thomaz Coelho","city_3932"
cep_83707700,"br_pr","83707700","PR-421","Rodovia","Barigui","city_3932"
cep_83707460,"br_pr","83707460","Pedro Chempeck","Rua","Barigui","city_3932"
cep_83707590,"br_pr","83707590","Emílio Cunha","Rua","Barigui","city_3932"
cep_83706100,"br_pr","83706100","Padre João Palka","Rua","Capela Velha","city_3932"
cep_83705827,"br_pr","83705827","Roberto Rontal","Rua","Capela Velha","city_3932"
cep_83707680,"br_pr","83707680","Nestor Pereira Habkost","Rua","Barigui","city_3932"
cep_83706000,"br_pr","83706000","Sônia Bodziak","Rua","Capela Velha","city_3932"
cep_83707670,"br_pr","83707670","dos Professores","Rua","Barigui","city_3932"
cep_83706020,"br_pr","83706020","João Luczyszyn","Rua","Capela Velha","city_3932"
cep_83706030,"br_pr","83706030","Clemente Haluch","Rua","Capela Velha","city_3932"
cep_83706040,"br_pr","83706040","Luiz Cordeiro","Rua","Capela Velha","city_3932"
cep_83706050,"br_pr","83706050","Joani Cabrini","Rua","Capela Velha","city_3932"
cep_83706060,"br_pr","83706060","Pingüim","Rua","Capela Velha","city_3932"
cep_83706070,"br_pr","83706070","Uirapuru","Rua","Capela Velha","city_3932"
cep_83705828,"br_pr","83705828","André Emmanuel Deschrevel","Rua","Capela Velha","city_3932"
cep_83707710,"br_pr","83707710","Pedro Rudi","Rua","Barigui","city_3932"
cep_83707530,"br_pr","83707530","Sérgio Aleixo Grebos","Rua","Barigui","city_3932"
cep_83707540,"br_pr","83707540","Antônio Gabriel Siemens","Rua","Barigui","city_3932"
cep_83707550,"br_pr","83707550","Alexandre Romanowski","Rua","Barigui","city_3932"
cep_83707560,"br_pr","83707560","João Roma","Rua","Barigui","city_3932"
cep_83707570,"br_pr","83707570","Leopoldo Sokulski","Rua","Barigui","city_3932"
cep_83707580,"br_pr","83707580","José Chempeck","Rua","Barigui","city_3932"
cep_83707690,"br_pr","83707690","José Cheinfert","Rua","Barigui","city_3932"
cep_83707600,"br_pr","83707600","Vicente Szczerbowski","Rua","Barigui","city_3932"
cep_83706710,"br_pr","83706710","Aleixo Gotfrid","Travessa","Capela Velha","city_3932"
cep_83707620,"br_pr","83707620","João Kmiecik","Rua","Barigui","city_3932"
cep_83707630,"br_pr","83707630","Leonardo Boçon","Travessa","Barigui","city_3932"
