"id","state_id:id","code","street","street_type","district","city_id:id"
cep_89224008,"br_sc","89224008","Dalvi Aparecido Moreira","Rua","Jardim Iririú","city_4446"
cep_89224007,"br_sc","89224007","Alfredo Cristofolini","Rua","Jardim Iririú","city_4446"
cep_89224005,"br_sc","89224005","Pio S. Santana","Rua","Jardim Iririú","city_4446"
cep_89224003,"br_sc","89224003","Passos","Servidão","Jardim Iririú","city_4446"
cep_89223407,"br_sc","89223407","Júlio Vieira","Rua","Jardim Sofia","city_4446"
cep_89224031,"br_sc","89224031","Coronel Vieira","Rua","Jardim Iririú","city_4446"
cep_89223075,"br_sc","89223075","Beira Mar","Rua","Bom Retiro","city_4446"
cep_89223420,"br_sc","89223420","José Romão Filho","Rua","Jardim Sofia","city_4446"
cep_89224010,"br_sc","89224010","Guaíra","Rua","Jardim Iririú","city_4446"
cep_89223160,"br_sc","89223160","Presidente Washington Luiz","Rua","Bom Retiro","city_4446"
cep_89223150,"br_sc","89223150","Euclides da Cunha","Rua","Bom Retiro","city_4446"
cep_89223140,"br_sc","89223140","Itá","Rua","Bom Retiro","city_4446"
cep_89223130,"br_sc","89223130","Humaitá","Rua","Bom Retiro","city_4446"
cep_89223122,"br_sc","89223122","Eugênio Tomm","Rua","Bom Retiro","city_4446"
cep_89223120,"br_sc","89223120","Otávio Rosa Filho","Rua","Bom Retiro","city_4446"
cep_89223117,"br_sc","89223117","Fernando Sellmer","Servidão","Bom Retiro","city_4446"
cep_89223113,"br_sc","89223113","Rosa Praxedes de Miranda Pereira","Rua","Bom Retiro","city_4446"
cep_89223110,"br_sc","89223110","Riachuelo","Rua","Bom Retiro","city_4446"
cep_89223165,"br_sc","89223165","Amandus Alandt","Rua","Bom Retiro","city_4446"
cep_89224036,"br_sc","89224036","Guaratinguetá","Rua","Jardim Iririú","city_4446"
cep_89224077,"br_sc","89224077","Vice-Prefeito Ivan Rodrigues","Rua","Jardim Iririú","city_4446"
cep_89224075,"br_sc","89224075","Carlos Roberto Vilpert","Rua","Jardim Iririú","city_4446"
cep_89224071,"br_sc","89224071","Frontin","Rua","Jardim Iririú","city_4446"
cep_89224069,"br_sc","89224069","Francisca Mathias","Rua","Jardim Iririú","city_4446"
cep_89224067,"br_sc","89224067","Waldemar João Domingos","Rua","Jardim Iririú","city_4446"
cep_89224063,"br_sc","89224063","Gêmeos","Rua","Jardim Iririú","city_4446"
cep_89224061,"br_sc","89224061","Willy Schossland","Rua","Jardim Iririú","city_4446"
cep_89224055,"br_sc","89224055","Martinho Van Biene","Rua","Jardim Iririú","city_4446"
cep_89224017,"br_sc","89224017","Áries","Rua","Jardim Iririú","city_4446"
cep_89224045,"br_sc","89224045","Professor Alfredo Moreira","Rua","Jardim Iririú","city_4446"
cep_89224015,"br_sc","89224015","Fernando Loth","Rua","Jardim Iririú","city_4446"
cep_89224281,"br_sc","89224281","Janaúba","Rua","Jardim Iririú","city_4446"
cep_89223750,"br_sc","89223750","Leandro Alves de Brito","Rua","Jardim Sofia","city_4446"
cep_89224028,"br_sc","89224028","Waldir Ochner","Rua","Jardim Iririú","city_4446"
cep_89223760,"br_sc","89223760","Eduardo Fabricio de Souza","Rua","Jardim Sofia","city_4446"
cep_89224025,"br_sc","89224025","Uruguaiana","Rua","Jardim Iririú","city_4446"
cep_89224024,"br_sc","89224024","João Lucas Lopes D'Ávila","Rua","Jardim Iririú","city_4446"
cep_89224021,"br_sc","89224021","Senador Rodrigo Lobo","Rua","Jardim Iririú","city_4446"
cep_89224019,"br_sc","89224019","Touro","Rua","Jardim Iririú","city_4446"
cep_89223100,"br_sc","89223100","Tenente Antônio João","Rua","Bom Retiro","city_4446"
