"id","state_id:id","code","street","street_type","district","city_id:id"
cep_57314040,"br_al","57314040","José Cícero Ferreira","Rua","Itapoã","l10n_br_data_base.city_1651"
cep_57304080,"br_al","57304080","Agapito Magalhães","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304090,"br_al","57304090","Francisco Cavalcante","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304210,"br_al","57304210","Primavera","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304110,"br_al","57304110","Rosendo Lima","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304200,"br_al","57304200","Boa Sorte","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304130,"br_al","57304130","José Nunes Barbosa","Praça","Primavera","l10n_br_data_base.city_1651"
cep_57304140,"br_al","57304140","Francisco de Paula Magalhães","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304150,"br_al","57304150","Manoel Martins Lemos","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304160,"br_al","57304160","Walmir Novaes","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304170,"br_al","57304170","Pio X","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304180,"br_al","57304180","Paulo VI","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304450,"br_al","57304450","João Pedro de Aragão","Praça","Primavera","l10n_br_data_base.city_1651"
cep_57315740,"br_al","57315740","Luzia Suruagy","Praça","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57315700,"br_al","57315700","Mestre Geraldo","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57304060,"br_al","57304060","Ana Beatriz","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57314290,"br_al","57314290","Amâncio Matias da Silva","Rua","Itapoã","l10n_br_data_base.city_1651"
cep_57314300,"br_al","57314300","José Ferreira da Silva","Rua","Itapoã","l10n_br_data_base.city_1651"
cep_57314310,"br_al","57314310","João Francisco de Almeida","Rua","Itapoã","l10n_br_data_base.city_1651"
cep_57315090,"br_al","57315090","Vicente Nunes de Albuquerque","Avenida","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57315100,"br_al","57315100","Manoel Pereira dos Santos","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57315120,"br_al","57315120","Arlindo Ferreira de Aguiar","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57315140,"br_al","57315140","Antônio Pereira Neto","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57314200,"br_al","57314200","AL-110","Rodovia","Itapoã","l10n_br_data_base.city_1651"
cep_57315200,"br_al","57315200","Benvindo Batista dos Santos","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57314190,"br_al","57314190","AL-220","Rodovia","Itapoã","l10n_br_data_base.city_1651"
cep_57315710,"br_al","57315710","Joaquim Pereira Gama","Rua","Senador Arnon de Melo","l10n_br_data_base.city_1651"
cep_57303760,"br_al","57303760","João Jiguiri","Rua","Olho D'Água dos Cazuzinhos","l10n_br_data_base.city_1651"
cep_57304100,"br_al","57304100","Marechal Costa e Silva","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304370,"br_al","57304370","Trinta e Um de Março","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57302610,"br_al","57302610","Santa Luzia","Rua","Canafístula","l10n_br_data_base.city_1651"
cep_57303770,"br_al","57303770","Josefa Cartaxo","Rua","Olho D'Água dos Cazuzinhos","l10n_br_data_base.city_1651"
cep_57303775,"br_al","57303775","João José da Silva","Largo","Olho D'Água dos Cazuzinhos","l10n_br_data_base.city_1651"
cep_57303780,"br_al","57303780","Virgínia Barbosa Leão","Rua","Olho D'Água dos Cazuzinhos","l10n_br_data_base.city_1651"
cep_57303720,"br_al","57303720","Magna Maria Melquíades","Rua","Guaribas","l10n_br_data_base.city_1651"
cep_57304380,"br_al","57304380","Professor Guedes de Miranda","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304220,"br_al","57304220","Helena M. Teixeira","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304230,"br_al","57304230","Milton Ferreira de Melo","Rua","Primavera","l10n_br_data_base.city_1651"
cep_57304240,"br_al","57304240","Engenheiro Camilo Collier","Rua","Primavera","l10n_br_data_base.city_1651"
