"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id"
cep_70412900,"l10n_br_base.br_df","70412900","SES 805 Lote 18","","Asa Sul","l10n_br_base.city_5564"
cep_70322903,"l10n_br_base.br_df","70322903","SHS Quadra 3 Bloco I","","Asa Sul","l10n_br_base.city_5564"
cep_70421900,"l10n_br_base.br_df","70421900","SES 809 Lote 31","","Asa Sul","l10n_br_base.city_5564"
cep_70458900,"l10n_br_base.br_df","70458900","SCS Quadra 1 Bloco F 5º Andar","","Asa Sul","l10n_br_base.city_5564"
cep_70427900,"l10n_br_base.br_df","70427900","SES 811 Lote 42","","Asa Sul","l10n_br_base.city_5564"
cep_70428900,"l10n_br_base.br_df","70428900","SES 811 Lote 43","","Asa Sul","l10n_br_base.city_5564"
cep_70322912,"l10n_br_base.br_df","70322912","SHS Quadra 5 Bloco H e I","","Asa Sul","l10n_br_base.city_5564"
cep_70424900,"l10n_br_base.br_df","70424900","SES 809 Lote 38","","Asa Sul","l10n_br_base.city_5564"
cep_70425900,"l10n_br_base.br_df","70425900","SES 811 Lote 39","","Asa Sul","l10n_br_base.city_5564"
cep_70430900,"l10n_br_base.br_df","70430900","SES 815 Lote 64","","Asa Sul","l10n_br_base.city_5564"
cep_70307902,"l10n_br_base.br_df","70307902","SCS Quadra 7 Bloco A","","Asa Sul","l10n_br_base.city_5564"
cep_70070923,"l10n_br_base.br_df","70070923","SAUS Quadra 4 Bloco N","","Asa Sul","l10n_br_base.city_5564"
cep_70406900,"l10n_br_base.br_df","70406900","SES 801 Lote 06","","Asa Sul","l10n_br_base.city_5564"
cep_70070918,"l10n_br_base.br_df","70070918","SAUS Quadra 5 Lote 4/5","","Asa Sul","l10n_br_base.city_5564"
cep_70300901,"l10n_br_base.br_df","70300901","SCS Quadra 1 Bloco A Lote 30","","Asa Sul","l10n_br_base.city_5564"
cep_70426900,"l10n_br_base.br_df","70426900","SES 811 Lote 40","","Asa Sul","l10n_br_base.city_5564"
cep_70422900,"l10n_br_base.br_df","70422900","SES 809 Lote 32","","Asa Sul","l10n_br_base.city_5564"
cep_70098900,"l10n_br_base.br_df","70098900","Praça dos Tribunais Superiores Bloco B","","Asa Sul","l10n_br_base.city_5564"
cep_70402900,"l10n_br_base.br_df","70402900","SES 801 Lote 02","","Asa Sul","l10n_br_base.city_5564"
cep_70409900,"l10n_br_base.br_df","70409900","SES 803 Lote 15","","Asa Sul","l10n_br_base.city_5564"
cep_70302916,"l10n_br_base.br_df","70302916","SCS Quadra 2 Bloco C Lote 226","","Asa Sul","l10n_br_base.city_5564"
cep_70449900,"l10n_br_base.br_df","70449900","SCS Quadra 1 Bloco D 13º Andar Sala 132/133","","Asa Sul","l10n_br_base.city_5564"
cep_70306908,"l10n_br_base.br_df","70306908","SCS Quadra 6 Bloco A Lote 172","","Asa Sul","l10n_br_base.city_5564"
cep_70322902,"l10n_br_base.br_df","70322902","SHS Quadra 2 Bloco H","","Asa Sul","l10n_br_base.city_5564"
cep_70401900,"l10n_br_base.br_df","70401900","SES 801 Lote 01","","Asa Sul","l10n_br_base.city_5564"
cep_70476900,"l10n_br_base.br_df","70476900","SES 801 Lote A","","Asa Sul","l10n_br_base.city_5564"
cep_70303902,"l10n_br_base.br_df","70303902","SCS Quadra 3 Bloco A Lote 65","","Asa Sul","l10n_br_base.city_5564"
cep_70407900,"l10n_br_base.br_df","70407900","SES 803 Lote 11","","Asa Sul","l10n_br_base.city_5564"
cep_70070914,"l10n_br_base.br_df","70070914","SAUS Quadra 5","","Asa Sul","l10n_br_base.city_5564"
cep_70322914,"l10n_br_base.br_df","70322914","SHS Quadra 5 Bloco C","","Asa Sul","l10n_br_base.city_5564"
cep_70305905,"l10n_br_base.br_df","70305905","SCS Quadra 5 Bloco B Lote 84","","Asa Sul","l10n_br_base.city_5564"
cep_70390903,"l10n_br_base.br_df","70390903","SHLS Bloco E","","Asa Sul","l10n_br_base.city_5564"
cep_70304900,"l10n_br_base.br_df","70304900","SCS Quadra 1 Bloco I Lote 30","","Asa Sul","l10n_br_base.city_5564"
cep_70302914,"l10n_br_base.br_df","70302914","SCS Quadra 2 Bloco C Lote 180","","Asa Sul","l10n_br_base.city_5564"
cep_70303900,"l10n_br_base.br_df","70303900","SCS Quadra 1 Bloco E Lote 30","","Asa Sul","l10n_br_base.city_5564"
cep_70304912,"l10n_br_base.br_df","70304912","SCS Quadra 4 Bloco A Lote 216","","Asa Sul","l10n_br_base.city_5564"
cep_70322911,"l10n_br_base.br_df","70322911","SHS Quadra 5 Bloco J","","Asa Sul","l10n_br_base.city_5564"
cep_70451900,"l10n_br_base.br_df","70451900","SES 803 Lote 13","","Asa Sul","l10n_br_base.city_5564"
cep_70170900,"l10n_br_base.br_df","70170900","Esplanada dos Ministérios Bloco H","","Zona Cívico-Administrativa","l10n_br_base.city_5564"
cep_70397900,"l10n_br_base.br_df","70397900","SCS Quadra 1 Bloco F Lote 30","","Asa Sul","l10n_br_base.city_5564"
cep_70419900,"l10n_br_base.br_df","70419900","SES 807 Lote 29","","Asa Sul","l10n_br_base.city_5564"
cep_70448900,"l10n_br_base.br_df","70448900","SES 811 Lote 41","","Asa Sul","l10n_br_base.city_5564"
cep_70079900,"l10n_br_base.br_df","70079900","SAUS Quadra 3 Bloco O","","Asa Sul","l10n_br_base.city_5564"
cep_70070903,"l10n_br_base.br_df","70070903","SBS Quadra 2 Bloco D Lote 16","","Asa Sul","l10n_br_base.city_5564"
cep_70070910,"l10n_br_base.br_df","70070910","SAUS Quadra 5 Bloco F","","Asa Sul","l10n_br_base.city_5564"
cep_70306910,"l10n_br_base.br_df","70306910","SCS Quadra 6 Bloco A Lote 194","","Asa Sul","l10n_br_base.city_5564"
cep_70073900,"l10n_br_base.br_df","70073900","SBS Quadra 1 Bloco A Lote 31","","Asa Sul","l10n_br_base.city_5564"
cep_70305914,"l10n_br_base.br_df","70305914","SCS Quadra 5 Bloco C Lote 70/74","","Asa Sul","l10n_br_base.city_5564"
cep_70078900,"l10n_br_base.br_df","70078900","SBS Quadra 2 Bloco A Lote 19","","Asa Sul","l10n_br_base.city_5564"
cep_70454900,"l10n_br_base.br_df","70454900","SCS Quadra 1 Bloco C 13º Andar Sala 1301","","Asa Sul","l10n_br_base.city_5564"
cep_70305920,"l10n_br_base.br_df","70305920","SCS Quadra 5 Bloco C Lote 22","","Asa Sul","l10n_br_base.city_5564"
cep_70443900,"l10n_br_base.br_df","70443900","SES 813 Lote 51","","Asa Sul","l10n_br_base.city_5564"
cep_70322913,"l10n_br_base.br_df","70322913","SHS Quadra 5 Bloco G","","Asa Sul","l10n_br_base.city_5564"
cep_70300905,"l10n_br_base.br_df","70300905","SGAS 904 Bloco A","","Asa Sul","l10n_br_base.city_5564"
cep_70411900,"l10n_br_base.br_df","70411900","SES 805 Lote 17","","Asa Sul","l10n_br_base.city_5564"
cep_70070940,"l10n_br_base.br_df","70070940","SAUS Quadra 6 Blocos C,E,F e H","","Asa Sul","l10n_br_base.city_5564"
cep_70070930,"l10n_br_base.br_df","70070930","SBS Quadra 4 Lote 03/04","","Asa Sul","l10n_br_base.city_5564"
cep_70398900,"l10n_br_base.br_df","70398900","SCS Quadra 1 Bloco K Lote 30","","Asa Sul","l10n_br_base.city_5564"
cep_70395900,"l10n_br_base.br_df","70395900","SCS Quadra 1 Bloco C Lote 30","","Asa Sul","l10n_br_base.city_5564"
cep_70390900,"l10n_br_base.br_df","70390900","SHLS Conjunto F Lote 10","","Asa Sul","l10n_br_base.city_5564"
cep_70309900,"l10n_br_base.br_df","70309900","SCS Quadra 1 Bloco G Lote 30","","Asa Sul","l10n_br_base.city_5564"
cep_70340909,"l10n_br_base.br_df","70340909","SRTVS Bloco M Lote 12","","Asa Sul","l10n_br_base.city_5564"
cep_70070905,"l10n_br_base.br_df","70070905","SAUS Quadra 1 Bloco A","","Asa Sul","l10n_br_base.city_5564"
cep_70070921,"l10n_br_base.br_df","70070921","SAUS Quadra 5 Bloco I Lotes 5/3a","","Asa Sul","l10n_br_base.city_5564"
cep_70070920,"l10n_br_base.br_df","70070920","SAUS Quadra 5 Bloco J Lote 3","","Asa Sul","l10n_br_base.city_5564"
