"id","state_id:id","code","street","street_type","district","city_id:id"
cep_75143540,"br_go","75143540","Catingueiro","Rua","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75143372,"br_go","75143372","Lisboa","Viela","Vila Residencial Pedro Ludovico","l10n_br_data_base.city_5333"
cep_75143420,"br_go","75143420","Buenos Aires","Avenida","Parque das Nações","l10n_br_data_base.city_5333"
cep_75143560,"br_go","75143560","Guaporé","Rua","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75143630,"br_go","75143630","Primavera","Rua","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75143620,"br_go","75143620","Manacá","Rua","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75143610,"br_go","75143610","do Lago","Rua","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75143600,"br_go","75143600","Itu","Rua","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75143590,"br_go","75143590","Ibia","Rua","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75143580,"br_go","75143580","Hamburgo","Rua","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75143470,"br_go","75143470","Madrid","Rua","Parque das Nações","l10n_br_data_base.city_5333"
cep_75143565,"br_go","75143565","Professor Benvindo Machado","Avenida","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75120370,"br_go","75120370","Divino Pai Eterno","Avenida","Vila Góis","l10n_br_data_base.city_5333"
cep_75143550,"br_go","75143550","Francisco Fontes","Rua","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75143378,"br_go","75143378","Mônaco","Rua","Vila Residencial Pedro Ludovico","l10n_br_data_base.city_5333"
cep_75143530,"br_go","75143530","Caetés","Rua","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75143520,"br_go","75143520","Viena","Rua","Parque das Nações","l10n_br_data_base.city_5333"
cep_75143510,"br_go","75143510","Paris","Avenida","Parque das Nações","l10n_br_data_base.city_5333"
cep_75143570,"br_go","75143570","Guaxupé","Rua","Jardim Suíço","l10n_br_data_base.city_5333"
cep_75143120,"br_go","75143120","Pedro Ludovico","Avenida","Jardim Nações Unidas","l10n_br_data_base.city_5333"
cep_75143371,"br_go","75143371","Lisboa","Rua","Vila Residencial Pedro Ludovico","l10n_br_data_base.city_5333"
cep_75143200,"br_go","75143200","Venezuela","Rua","Jardim Nações Unidas","l10n_br_data_base.city_5333"
cep_75143190,"br_go","75143190","Turquia","Rua","Jardim Nações Unidas","l10n_br_data_base.city_5333"
cep_75143180,"br_go","75143180","Tertuliano Rodrigues da Silva","Rua","Jardim Nações Unidas","l10n_br_data_base.city_5333"
cep_75143170,"br_go","75143170","Sírio Libanês","Rua","Jardim Nações Unidas","l10n_br_data_base.city_5333"
cep_75143360,"br_go","75143360","Plácido de Campos","Rua","Jardim Santana","l10n_br_data_base.city_5333"
cep_75143050,"br_go","75143050","Chile","Rua","Jardim Nações Unidas","l10n_br_data_base.city_5333"
cep_75140250,"br_go","75140250","Dom Pedro I","Rua","São José","l10n_br_data_base.city_5333"
cep_75140240,"br_go","75140240","André Xavier de Almeida","Rua","São José","l10n_br_data_base.city_5333"
cep_75140130,"br_go","75140130","Otoniel Mota","Rua","Vila Brasil","l10n_br_data_base.city_5333"
cep_75140220,"br_go","75140220","Belmiro César","Rua","Vila Brasil","l10n_br_data_base.city_5333"
cep_75140300,"br_go","75140300","Engenheiro Augusto Xavier de Almeida","Rua","São José","l10n_br_data_base.city_5333"
cep_75140200,"br_go","75140200","Erasmo Braga","Rua","Vila Brasil","l10n_br_data_base.city_5333"
cep_75140190,"br_go","75140190","Gabriel da Cunha","Rua","Vila Brasil","l10n_br_data_base.city_5333"
cep_75140180,"br_go","75140180","Goiás","Avenida","Vila Brasil","l10n_br_data_base.city_5333"
cep_75140170,"br_go","75140170","Manoel da Canceição","Rua","Vila Brasil","l10n_br_data_base.city_5333"
cep_75140160,"br_go","75140160","Maranhão","Rua","Vila Brasil","l10n_br_data_base.city_5333"
cep_75143375,"br_go","75143375","Assunção","Rua","Vila Residencial Pedro Ludovico","l10n_br_data_base.city_5333"
cep_75143400,"br_go","75143400","Berlim","Avenida","Parque das Nações","l10n_br_data_base.city_5333"
cep_75143377,"br_go","75143377","Pedro Ludovico","Avenida","Vila Residencial Pedro Ludovico","l10n_br_data_base.city_5333"
cep_75143460,"br_go","75143460","Londres","Rua","Parque das Nações","l10n_br_data_base.city_5333"
cep_75143450,"br_go","75143450","Lisboa","Avenida","Parque das Nações","l10n_br_data_base.city_5333"
cep_75143440,"br_go","75143440","La Paz","Avenida","Parque das Nações","l10n_br_data_base.city_5333"
cep_75143430,"br_go","75143430","Estocolmo","Rua","Parque das Nações","l10n_br_data_base.city_5333"
cep_75143425,"br_go","75143425","Pedro Ludovico","Avenida","Parque das Nações","l10n_br_data_base.city_5333"
