"id","state_id:id","code","street","street_type","district","city_id:id"
cep_78060688,"br_mt","78060688","Guadalupe","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060745,"br_mt","78060745","Carrara","Rua","Jardim Itália","l10n_br_data_base.city_5214"
cep_78060740,"br_mt","78060740","Bérgamo","Rua","Jardim Itália","l10n_br_data_base.city_5214"
cep_78060694,"br_mt","78060694","Washington","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060735,"br_mt","78060735","Palermo","Rua","Jardim Itália","l10n_br_data_base.city_5214"
cep_78060730,"br_mt","78060730","Messina","Rua","Jardim Itália","l10n_br_data_base.city_5214"
cep_78058553,"br_mt","78058553","Trinta e Dois","Rua","Três Barras","l10n_br_data_base.city_5214"
cep_78060720,"br_mt","78060720","San Remo","Rua","Jardim Itália","l10n_br_data_base.city_5214"
cep_78060644,"br_mt","78060644","Martinica","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060708,"br_mt","78060708","Acapulco","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060648,"br_mt","78060648","Montreal","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060609,"br_mt","78060609","Havana","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060725,"br_mt","78060725","Tivoli","Rua","Jardim Itália","l10n_br_data_base.city_5214"
cep_78060598,"br_mt","78060598","Cidade do México","Avenida","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060634,"br_mt","78060634","Buenos Aires","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060628,"br_mt","78060628","Santiago","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060624,"br_mt","78060624","Guadalajara","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060618,"br_mt","78060618","Haiti","Avenida","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060614,"br_mt","78060614","San Salvador","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060604,"br_mt","78060604","Manágua","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060684,"br_mt","78060684","Antigua","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060601,"br_mt","78060601","Brasília","Avenida","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060755,"br_mt","78060755","Itália","Avenida","Jardim Itália","l10n_br_data_base.city_5214"
cep_78060599,"br_mt","78060599","La Paz","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060746,"br_mt","78060746","Jornalista Arquimedes Pereira Lima","Avenida","Jardim Itália","l10n_br_data_base.city_5214"
cep_78060597,"br_mt","78060597","Caracas","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060594,"br_mt","78060594","Bogotá","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78058549,"br_mt","78058549","Treze","Rua","Três Barras","l10n_br_data_base.city_5214"
cep_78060589,"br_mt","78060589","Montevidéo","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060588,"br_mt","78060588","Paramaribo","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78058833,"br_mt","78058833","Q","Rua","Planalto","l10n_br_data_base.city_5214"
cep_78058551,"br_mt","78058551","Trinta","Rua","Três Barras","l10n_br_data_base.city_5214"
cep_78060602,"br_mt","78060602","Valparaíso","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060704,"br_mt","78060704","Kingston","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060655,"br_mt","78060655","Georgetown","Travessa","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78058650,"br_mt","78058650","Z","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058612,"br_mt","78058612","E","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058671,"br_mt","78058671","Araçatuba","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058669,"br_mt","78058669","Diadema","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058667,"br_mt","78058667","Rio Branco","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058665,"br_mt","78058665","Amazonas","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058663,"br_mt","78058663","Curitiba","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058661,"br_mt","78058661","Joinville","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058636,"br_mt","78058636","Q","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058657,"br_mt","78058657","Itaipu","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058638,"br_mt","78058638","R","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058655,"br_mt","78058655","Várzea Alegre","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058651,"br_mt","78058651","Trinta de Abril","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058620,"br_mt","78058620","I","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058648,"br_mt","78058648","Y","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058646,"br_mt","78058646","X","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058644,"br_mt","78058644","V","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058642,"br_mt","78058642","U","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78060600,"br_mt","78060600","Fernando Correa da Costa","Avenida","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060165,"br_mt","78060165","João Ferreira de Souza","Rua","Santo Antônio do Pedregal","l10n_br_data_base.city_5214"
cep_78058599,"br_mt","78058599","Quatro","Rua","Jardim Umuarama","l10n_br_data_base.city_5214"
cep_78058659,"br_mt","78058659","Piracicaba","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058557,"br_mt","78058557","Trinta e Um","Rua","Três Barras","l10n_br_data_base.city_5214"
cep_78058539,"br_mt","78058539","Quatro","Rua","Três Barras","l10n_br_data_base.city_5214"
cep_78058653,"br_mt","78058653","Várzea Bonita","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058624,"br_mt","78058624","L","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78060678,"br_mt","78060678","Quebec","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060674,"br_mt","78060674","Guaiaquil","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060668,"br_mt","78060668","Otawa","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060664,"br_mt","78060664","Nassau","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060582,"br_mt","78060582","Lima","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060714,"br_mt","78060714","Puebla","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78058616,"br_mt","78058616","G","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058634,"br_mt","78058634","Primeiro de Março","Travessa","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058632,"br_mt","78058632","P","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058630,"br_mt","78058630","O","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058837,"br_mt","78058837","S","Rua","Planalto","l10n_br_data_base.city_5214"
cep_78058626,"br_mt","78058626","M","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058555,"br_mt","78058555","Trinta e Três","Rua","Três Barras","l10n_br_data_base.city_5214"
cep_78058622,"br_mt","78058622","J","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058601,"br_mt","78058601","Um","Rua","Jardim Umuarama","l10n_br_data_base.city_5214"
cep_78058618,"br_mt","78058618","H","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058640,"br_mt","78058640","S","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058614,"br_mt","78058614","F","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058610,"br_mt","78058610","D","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058608,"br_mt","78058608","Contorno","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058606,"br_mt","78058606","C","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058604,"br_mt","78058604","B","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058675,"br_mt","78058675","Monte Claro","Rua","Jardim Novo Horizonte","l10n_br_data_base.city_5214"
cep_78058628,"br_mt","78058628","N","Rua","Jardim Primeiro de Março","l10n_br_data_base.city_5214"
cep_78058847,"br_mt","78058847","X","Rua","Planalto","l10n_br_data_base.city_5214"
cep_78058869,"br_mt","78058869","Sete","Rua","Residencial Itamarati","l10n_br_data_base.city_5214"
cep_78058867,"br_mt","78058867","Seis","Rua","Residencial Itamarati","l10n_br_data_base.city_5214"
cep_78058865,"br_mt","78058865","Oito","Rua","Residencial Itamarati","l10n_br_data_base.city_5214"
cep_78058863,"br_mt","78058863","Cinco","Rua","Residencial Itamarati","l10n_br_data_base.city_5214"
cep_78058861,"br_mt","78058861","B","Rua","Residencial Itamarati","l10n_br_data_base.city_5214"
cep_78060215,"br_mt","78060215","Vinte e Um de Agosto","Rua","Santo Antônio do Pedregal","l10n_br_data_base.city_5214"
cep_78058857,"br_mt","78058857","Três","Rua","Residencial Itamarati","l10n_br_data_base.city_5214"
cep_78060018,"br_mt","78060018","SD","Rua","Jardim Leblon","l10n_br_data_base.city_5214"
cep_78058853,"br_mt","78058853","Dois","Rua","Residencial Itamarati","l10n_br_data_base.city_5214"
cep_78060094,"br_mt","78060094","Sete","Rua","Jardim Leblon","l10n_br_data_base.city_5214"
cep_78058849,"br_mt","78058849","P","Rua","Planalto","l10n_br_data_base.city_5214"
cep_78058855,"br_mt","78058855","Quatro","Rua","Residencial Itamarati","l10n_br_data_base.city_5214"
cep_78058845,"br_mt","78058845","V","Rua","Planalto","l10n_br_data_base.city_5214"
cep_78058843,"br_mt","78058843","U","Rua","Planalto","l10n_br_data_base.city_5214"
cep_78058841,"br_mt","78058841","T","Rua","Planalto","l10n_br_data_base.city_5214"
cep_78058859,"br_mt","78058859","Um","Rua","Residencial Itamarati","l10n_br_data_base.city_5214"
cep_78060074,"br_mt","78060074","Oito","Rua","Jardim Leblon","l10n_br_data_base.city_5214"
cep_78060585,"br_mt","78060585","Mar Del Plata","Rua","Jardim das Américas","l10n_br_data_base.city_5214"
cep_78060185,"br_mt","78060185","Taiamã","Rua","Santo Antônio do Pedregal","l10n_br_data_base.city_5214"
cep_78060175,"br_mt","78060175","Aquarela","Rua","Santo Antônio do Pedregal","l10n_br_data_base.city_5214"
cep_78060155,"br_mt","78060155","Belém","Rua","Santo Antônio do Pedregal","l10n_br_data_base.city_5214"
