"id","state_id:id","code","street","street_type","district","city_id:id"
cep_69316692,"br_rr","69316692","N-4","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316690,"br_rr","69316690","S-1","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69317004,"br_rr","69317004","S-24","Avenida","Santa Luzia","l10n_br_data_base.city_139"
cep_69316645,"br_rr","69316645","Solon Rodrigues Pessoa","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316730,"br_rr","69316730","N-10","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316635,"br_rr","69316635","S-43","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69309172,"br_rr","69309172","Antônio Marques","Rua","Buritis","l10n_br_data_base.city_139"
cep_69316630,"br_rr","69316630","S-42","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316598,"br_rr","69316598","S-30","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316615,"br_rr","69316615","S-35","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316600,"br_rr","69316600","S-31","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316625,"br_rr","69316625","S-38","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316603,"br_rr","69316603","S-32","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316695,"br_rr","69316695","Solon Rodrigues Pessoa","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316606,"br_rr","69316606","S-33","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316620,"br_rr","69316620","S-37","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316610,"br_rr","69316610","S-34","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316618,"br_rr","69316618","S-36","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316627,"br_rr","69316627","S-39","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69317185,"br_rr","69317185","S-04","Avenida","Alvorada","l10n_br_data_base.city_139"
cep_69317188,"br_rr","69317188","07 de Setembro","Rua","Alvorada","l10n_br_data_base.city_139"
cep_69317532,"br_rr","69317532","Peixes","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69317186,"br_rr","69317186","São Francisco","Avenida","Alvorada","l10n_br_data_base.city_139"
cep_69317190,"br_rr","69317190","São José","Avenida","Alvorada","l10n_br_data_base.city_139"
cep_69317173,"br_rr","69317173","S-25","Rua","Santa Luzia","l10n_br_data_base.city_139"
cep_69317180,"br_rr","69317180","dos Corretores de Imóveis","Avenida","Alvorada","l10n_br_data_base.city_139"
cep_69317530,"br_rr","69317530","Cassiopéia","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69316640,"br_rr","69316640","S-44","Rua","Senador Hélio Campos","l10n_br_data_base.city_139"
cep_69316715,"br_rr","69316715","S-4","Avenida","Pintolândia","l10n_br_data_base.city_139"
cep_69316718,"br_rr","69316718","S-6","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69317181,"br_rr","69317181","dos Garimpeiros","Avenida","Alvorada","l10n_br_data_base.city_139"
cep_69317184,"br_rr","69317184","Mário Homem de Melo","Avenida","Alvorada","l10n_br_data_base.city_139"
cep_69317192,"br_rr","69317192","Antônio Moreira de Moraes","Rua","Alvorada","l10n_br_data_base.city_139"
cep_69316720,"br_rr","69316720","N-1","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316710,"br_rr","69316710","S-5","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316708,"br_rr","69316708","S-3","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316705,"br_rr","69316705","S-2","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316702,"br_rr","69316702","N-8","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316700,"br_rr","69316700","N-7","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316698,"br_rr","69316698","N-6","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316738,"br_rr","69316738","Laura Pinheiro Maia","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316758,"br_rr","69316758","S-14","Avenida","Pintolândia","l10n_br_data_base.city_139"
cep_69316732,"br_rr","69316732","N-13","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316765,"br_rr","69316765","S-15","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316750,"br_rr","69316750","S-11","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69317536,"br_rr","69317536","R-09","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69316752,"br_rr","69316752","S-12","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69317538,"br_rr","69317538","R-10","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69317540,"br_rr","69317540","R-11","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69317194,"br_rr","69317194","C-40","Rua","Alvorada","l10n_br_data_base.city_139"
cep_69316768,"br_rr","69316768","S-16","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69317542,"br_rr","69317542","R-12","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69316740,"br_rr","69316740","Nivaldo da Conceição Gutierrez","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316760,"br_rr","69316760","S-7","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316728,"br_rr","69316728","N-9","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69317544,"br_rr","69317544","R-13","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69316742,"br_rr","69316742","S-8","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69317546,"br_rr","69317546","R-14","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69317548,"br_rr","69317548","R-15","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69317522,"br_rr","69317522","Marte","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69317550,"br_rr","69317550","R-16","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69316755,"br_rr","69316755","S-13","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316780,"br_rr","69316780","Eufrate","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316762,"br_rr","69316762","N-17","Avenida","Pintolândia","l10n_br_data_base.city_139"
cep_69316800,"br_rr","69316800","Canaã","Travessa","Pintolândia","l10n_br_data_base.city_139"
cep_69317534,"br_rr","69317534","R-08","Rua","Cidade Satélite","l10n_br_data_base.city_139"
cep_69316798,"br_rr","69316798","Silo","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316795,"br_rr","69316795","Sião","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316792,"br_rr","69316792","Noemi","Rua","Pintolândia","l10n_br_data_base.city_139"
cep_69316790,"br_rr","69316790","Midiã","Rua","Pintolândia","l10n_br_data_base.city_139"
