"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id"
cep_57314040,"l10n_br_base.br_al","57314040","José Cícero Ferreira","Rua","Itapoã","l10n_br_base.city_1651"
cep_57304080,"l10n_br_base.br_al","57304080","Agapito Magalhães","Rua","Primavera","l10n_br_base.city_1651"
cep_57304090,"l10n_br_base.br_al","57304090","Francisco Cavalcante","Rua","Primavera","l10n_br_base.city_1651"
cep_57304210,"l10n_br_base.br_al","57304210","Primavera","Rua","Primavera","l10n_br_base.city_1651"
cep_57304110,"l10n_br_base.br_al","57304110","Rosendo Lima","Rua","Primavera","l10n_br_base.city_1651"
cep_57304200,"l10n_br_base.br_al","57304200","Boa Sorte","Rua","Primavera","l10n_br_base.city_1651"
cep_57304130,"l10n_br_base.br_al","57304130","José Nunes Barbosa","Praça","Primavera","l10n_br_base.city_1651"
cep_57304140,"l10n_br_base.br_al","57304140","Francisco de Paula Magalhães","Rua","Primavera","l10n_br_base.city_1651"
cep_57304150,"l10n_br_base.br_al","57304150","Manoel Martins Lemos","Rua","Primavera","l10n_br_base.city_1651"
cep_57304160,"l10n_br_base.br_al","57304160","Walmir Novaes","Rua","Primavera","l10n_br_base.city_1651"
cep_57304170,"l10n_br_base.br_al","57304170","Pio X","Rua","Primavera","l10n_br_base.city_1651"
cep_57304180,"l10n_br_base.br_al","57304180","Paulo VI","Rua","Primavera","l10n_br_base.city_1651"
cep_57304450,"l10n_br_base.br_al","57304450","João Pedro de Aragão","Praça","Primavera","l10n_br_base.city_1651"
cep_57315740,"l10n_br_base.br_al","57315740","Luzia Suruagy","Praça","Senador Arnon de Melo","l10n_br_base.city_1651"
cep_57315700,"l10n_br_base.br_al","57315700","Mestre Geraldo","Rua","Senador Arnon de Melo","l10n_br_base.city_1651"
cep_57304060,"l10n_br_base.br_al","57304060","Ana Beatriz","Rua","Primavera","l10n_br_base.city_1651"
cep_57314290,"l10n_br_base.br_al","57314290","Amâncio Matias da Silva","Rua","Itapoã","l10n_br_base.city_1651"
cep_57314300,"l10n_br_base.br_al","57314300","José Ferreira da Silva","Rua","Itapoã","l10n_br_base.city_1651"
cep_57314310,"l10n_br_base.br_al","57314310","João Francisco de Almeida","Rua","Itapoã","l10n_br_base.city_1651"
cep_57315090,"l10n_br_base.br_al","57315090","Vicente Nunes de Albuquerque","Avenida","Senador Arnon de Melo","l10n_br_base.city_1651"
cep_57315100,"l10n_br_base.br_al","57315100","Manoel Pereira dos Santos","Rua","Senador Arnon de Melo","l10n_br_base.city_1651"
cep_57315120,"l10n_br_base.br_al","57315120","Arlindo Ferreira de Aguiar","Rua","Senador Arnon de Melo","l10n_br_base.city_1651"
cep_57315140,"l10n_br_base.br_al","57315140","Antônio Pereira Neto","Rua","Senador Arnon de Melo","l10n_br_base.city_1651"
