"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id","country_id:id"
"cep_79645080","l10n_br_base.br_ms","79645080","Baldomero Leituga","Rua","Jardim Novo Aeroporto","l10n_br_base.city_5175","base.br"
"cep_79645140","l10n_br_base.br_ms","79645140","Rui José da Costa","Rua","Jardim Paranapunga","l10n_br_base.city_5175","base.br"
"cep_79645100","l10n_br_base.br_ms","79645100","Benedito Soares da Motta","Rua","Jardim Novo Aeroporto","l10n_br_base.city_5175","base.br"
"cep_79645110","l10n_br_base.br_ms","79645110","Generoso de Siqueira","Rua","São Jorge","l10n_br_base.city_5175","base.br"
"cep_79645120","l10n_br_base.br_ms","79645120","Antônio Estevan Leal","Rua","Jardim Novo Aeroporto","l10n_br_base.city_5175","base.br"
"cep_79645370","l10n_br_base.br_ms","79645370","Manoel Rodrigues Artez","Rua","Jardim Primavera","l10n_br_base.city_5175","base.br"
"cep_79645121","l10n_br_base.br_ms","79645121","Maria Humbelina da Costa","Travessa","Jardim Novo Aeroporto","l10n_br_base.city_5175","base.br"
"cep_79645340","l10n_br_base.br_ms","79645340","Capitão Bernardo Antônio Leite","Rua","São Jorge","l10n_br_base.city_5175","base.br"
"cep_79645150","l10n_br_base.br_ms","79645150","Coronel Cacildo Arantes","Rua","Jardim Paranapunga","l10n_br_base.city_5175","base.br"
"cep_79645330","l10n_br_base.br_ms","79645330","Farmacêutico Júlio Mancine","Rua","São Jorge","l10n_br_base.city_5175","base.br"
"cep_79645020","l10n_br_base.br_ms","79645020","Wilson Carvalho Viana","Rua","São Jorge","l10n_br_base.city_5175","base.br"
"cep_79645123","l10n_br_base.br_ms","79645123","Joaquim Costa","Travessa","Jardim Novo Aeroporto","l10n_br_base.city_5175","base.br"
"cep_79645124","l10n_br_base.br_ms","79645124","Maria Idalina Lopes","Rua","Jardim Novo Aeroporto","l10n_br_base.city_5175","base.br"
"cep_79645122","l10n_br_base.br_ms","79645122","Maria Cândida Costa Lopes","Rua","Jardim Novo Aeroporto","l10n_br_base.city_5175","base.br"
"cep_79645000","l10n_br_base.br_ms","79645000","Filinto Müller","Avenida","Jardim Novo Aeroporto","l10n_br_base.city_5175","base.br"
"cep_79645251","l10n_br_base.br_ms","79645251","Joaquim Tiago da Silva","Rua","Jardim Paranapunga","l10n_br_base.city_5175","base.br"
"cep_79645260","l10n_br_base.br_ms","79645260","Jamanchim","Rua","Jardim Paranapunga","l10n_br_base.city_5175","base.br"
"cep_79645270","l10n_br_base.br_ms","79645270","Tapajós","Rua","Jardim Paranapunga","l10n_br_base.city_5175","base.br"
"cep_79641200","l10n_br_base.br_ms","79641200","Quatro","Rua","Jardim das Paineiras","l10n_br_base.city_5175","base.br"
"cep_79645236","l10n_br_base.br_ms","79645236","Manoel Marques de Oliveira","Rua","Jardim Paranapunga","l10n_br_base.city_5175","base.br"
"cep_79645030","l10n_br_base.br_ms","79645030","Doutor Oscar Guimarães","Rua","Jardim Novo Aeroporto","l10n_br_base.city_5175","base.br"
