"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id","country_id:id"
"cep_64064075","l10n_br_base.br_pi","64064075","Carlos Pires Rebelo","Rua","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064045","l10n_br_base.br_pi","64064045","Conceição de Queiroz Alves","Rua","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064050","l10n_br_base.br_pi","64064050","Suína","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064055","l10n_br_base.br_pi","64064055","Doutor Francisco Artur Freire Rocha","Rua","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064060","l10n_br_base.br_pi","64064060","Petúnia","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064130","l10n_br_base.br_pi","64064130","Jacarandá","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064065","l10n_br_base.br_pi","64064065","Valdeci Gomes","Rua","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064120","l10n_br_base.br_pi","64064120","Lilás","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064085","l10n_br_base.br_pi","64064085","Joaquim Carlos Aragão","Rua","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064110","l10n_br_base.br_pi","64064110","Embaúba","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064080","l10n_br_base.br_pi","64064080","Paineira","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064105","l10n_br_base.br_pi","64064105","Raimundo Soares Viana","Rua","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64065200","l10n_br_base.br_pi","64065200","Projetada","Rua","Cidade Industrial","l10n_br_base.city_881","base.br"
"cep_64064095","l10n_br_base.br_pi","64064095","Coronel José Ribeiro","Rua","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64066200","l10n_br_base.br_pi","64066200","Floresta","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64064070","l10n_br_base.br_pi","64064070","Resedá","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64066020","l10n_br_base.br_pi","64066020","Jandáia","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64065010","l10n_br_base.br_pi","64065010","Projetada","Rua","Tabajaras","l10n_br_base.city_881","base.br"
"cep_64066080","l10n_br_base.br_pi","64066080","Salitre","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066060","l10n_br_base.br_pi","64066060","Cantagalo","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066050","l10n_br_base.br_pi","64066050","Vereador Joel Loureiro","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64064200","l10n_br_base.br_pi","64064200","Ivan Sobral Arcoverde","Rua","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64066100","l10n_br_base.br_pi","64066100","Pedra Branca","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066040","l10n_br_base.br_pi","64066040","Varzinha","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066670","l10n_br_base.br_pi","64066670","Doutor Ruy Lobão","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066160","l10n_br_base.br_pi","64066160","Severino Correia da Silva","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64064150","l10n_br_base.br_pi","64064150","Glicínia","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064100","l10n_br_base.br_pi","64064100","Nandina","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64066110","l10n_br_base.br_pi","64066110","Frontal","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066120","l10n_br_base.br_pi","64066120","Pilar","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066130","l10n_br_base.br_pi","64066130","Jaú","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066140","l10n_br_base.br_pi","64066140","Andaraí","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066150","l10n_br_base.br_pi","64066150","Refúgio","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066170","l10n_br_base.br_pi","64066170","Salto","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64067300","l10n_br_base.br_pi","64067300","Meio Norte","Vila","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066070","l10n_br_base.br_pi","64066070","das Almas","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066030","l10n_br_base.br_pi","64066030","Lajeiro","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066010","l10n_br_base.br_pi","64066010","Ana Maria Gonçalves e Silva","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066650","l10n_br_base.br_pi","64066650","Doutor Afonso Elvas","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066790","l10n_br_base.br_pi","64066790","Aérea","Vila","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066800","l10n_br_base.br_pi","64066800","Vilanova","Vila","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64077740","l10n_br_base.br_pi","64077740","Doutor Pedro Teixeira","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64066640","l10n_br_base.br_pi","64066640","Altamiro Area Leão","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066320","l10n_br_base.br_pi","64066320","Barra Funda","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066210","l10n_br_base.br_pi","64066210","Prado","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066220","l10n_br_base.br_pi","64066220","Tabuleiro","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066710","l10n_br_base.br_pi","64066710","Mirassol","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066240","l10n_br_base.br_pi","64066240","Itamaracá","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066700","l10n_br_base.br_pi","64066700","Capivari","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64085528","l10n_br_base.br_pi","64085528","Evitonio Teodoro","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64066260","l10n_br_base.br_pi","64066260","Santana","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066270","l10n_br_base.br_pi","64066270","Tatuí","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64064030","l10n_br_base.br_pi","64064030","Dracena","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64066310","l10n_br_base.br_pi","64066310","Meridiano","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066450","l10n_br_base.br_pi","64066450","do Cipó","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066280","l10n_br_base.br_pi","64066280","Britânia","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066290","l10n_br_base.br_pi","64066290","Valinho","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066230","l10n_br_base.br_pi","64066230","Alterosa","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066500","l10n_br_base.br_pi","64066500","Anita Ferraz","Parque","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64064170","l10n_br_base.br_pi","64064170","Flamboyant","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064180","l10n_br_base.br_pi","64064180","do Ancião","Vila","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064190","l10n_br_base.br_pi","64064190","Grevillea","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64064090","l10n_br_base.br_pi","64064090","Tipuanã","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64066660","l10n_br_base.br_pi","64066660","Doutor Luiz Carlos Mouzinho","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066180","l10n_br_base.br_pi","64066180","Lageada","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066460","l10n_br_base.br_pi","64066460","Inácio Neiva Luz","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066470","l10n_br_base.br_pi","64066470","Jornalista Climério Lima","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066750","l10n_br_base.br_pi","64066750","Parque Regina","Loteamento","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066490","l10n_br_base.br_pi","64066490","Domingos de Pádua Rêgo","Rua","Morros","l10n_br_base.city_881","base.br"
"cep_64064160","l10n_br_base.br_pi","64064160","Tamarix","Alameda","Zoobotânico","l10n_br_base.city_881","base.br"
"cep_64066610","l10n_br_base.br_pi","64066610","Carlos Rêgo Ferraz","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066620","l10n_br_base.br_pi","64066620","Deputado Francisco Costa","Avenida","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066630","l10n_br_base.br_pi","64066630","Desembargador Francisco Gomes Araújo","Avenida","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066440","l10n_br_base.br_pi","64066440","Cruzeta","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066250","l10n_br_base.br_pi","64066250","Serrinha","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066430","l10n_br_base.br_pi","64066430","Josué Moura Santos","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066680","l10n_br_base.br_pi","64066680","Enfermeiro Anísio Martins da Rocha","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066690","l10n_br_base.br_pi","64066690","Jandaíra","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64066480","l10n_br_base.br_pi","64066480","Campestre","Rua","Pedra Mole","l10n_br_base.city_881","base.br"
"cep_64081023","l10n_br_base.br_pi","64081023","Campinorte","Rua","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64082780","l10n_br_base.br_pi","64082780","Sertãozinho","Loteamento","Renascença","l10n_br_base.city_881","base.br"
"cep_64079650","l10n_br_base.br_pi","64079650","Wall Ferraz","Vila","Itararé","l10n_br_base.city_881","base.br"
"cep_64080010","l10n_br_base.br_pi","64080010","Francisco Marreiros","Conjunto","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64080500","l10n_br_base.br_pi","64080500","Projetada","Rua","Parque Poti","l10n_br_base.city_881","base.br"
"cep_64081000","l10n_br_base.br_pi","64081000","Parque Ideal","Conjunto","Itararé","l10n_br_base.city_881","base.br"
"cep_64081010","l10n_br_base.br_pi","64081010","Edgard Freitas","Rua","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64081015","l10n_br_base.br_pi","64081015","Parque Manoel Evangelista","Loteamento","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64085535","l10n_br_base.br_pi","64085535","Esplanada","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64081020","l10n_br_base.br_pi","64081020","Itararé","Avenida","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64079610","l10n_br_base.br_pi","64079610","Albânia","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64079620","l10n_br_base.br_pi","64079620","Campinas","Rua","Itararé","l10n_br_base.city_881","base.br"
"cep_64085540","l10n_br_base.br_pi","64085540","José Parente Sampaio","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085522","l10n_br_base.br_pi","64085522","Galiléia","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085524","l10n_br_base.br_pi","64085524","B","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085525","l10n_br_base.br_pi","64085525","Zenilde Abreu Gonçalves","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085526","l10n_br_base.br_pi","64085526","Canto Escuro","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085530","l10n_br_base.br_pi","64085530","Zeca Barbosa","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64085532","l10n_br_base.br_pi","64085532","Cataratas","Rua","Renascença","l10n_br_base.city_881","base.br"
"cep_64081017","l10n_br_base.br_pi","64081017","Cedral","Rua","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64077720","l10n_br_base.br_pi","64077720","Francisco Lima Couto","Rua","Novo Horizonte","l10n_br_base.city_881","base.br"
"cep_64082650","l10n_br_base.br_pi","64082650","Inhuma","Rua","Renascença","l10n_br_base.city_881","base.br"
