"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id","country_id:id"
"cep_92030130","l10n_br_base.br_rs","92030130","dos Fonseca","Beco","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030245","l10n_br_base.br_rs","92030245","Vereador José Motta","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030240","l10n_br_base.br_rs","92030240","Osvaldo Ortiz","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030230","l10n_br_base.br_rs","92030230","Oscar Pedro Kulzer","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030090","l10n_br_base.br_rs","92030090","Diogo Antônio Feijó","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030100","l10n_br_base.br_rs","92030100","Dois","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030210","l10n_br_base.br_rs","92030210","Ney Brito","Rua","Nossa Senhora das Graças","l10n_br_base.city_4682","base.br"
"cep_92030200","l10n_br_base.br_rs","92030200","Maurício de Nassau","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030160","l10n_br_base.br_rs","92030160","Luiz Carlos Muller","Beco","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030120","l10n_br_base.br_rs","92030120","Érico Veríssimo","Rua","Nossa Senhora das Graças","l10n_br_base.city_4682","base.br"
"cep_92030270","l10n_br_base.br_rs","92030270","Seis","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030190","l10n_br_base.br_rs","92030190","Lupicinio Rodrigues","Rua","Nossa Senhora das Graças","l10n_br_base.city_4682","base.br"
"cep_92030260","l10n_br_base.br_rs","92030260","Quatro","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030180","l10n_br_base.br_rs","92030180","Latino Coelho","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030110","l10n_br_base.br_rs","92030110","Engenheiro Acelino de Carvalho","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030340","l10n_br_base.br_rs","92030340","Alexandre de Gusmao","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030380","l10n_br_base.br_rs","92030380","Cinco","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030390","l10n_br_base.br_rs","92030390","Cinco","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030360","l10n_br_base.br_rs","92030360","Jacob Longoni","Rua","Olaria","l10n_br_base.city_4682","base.br"
"cep_92030400","l10n_br_base.br_rs","92030400","Dez","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030460","l10n_br_base.br_rs","92030460","Doze","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030410","l10n_br_base.br_rs","92030410","Dez","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030420","l10n_br_base.br_rs","92030420","Dois","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030430","l10n_br_base.br_rs","92030430","Dois","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030070","l10n_br_base.br_rs","92030070","Cinco","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030700","l10n_br_base.br_rs","92030700","Seis","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030080","l10n_br_base.br_rs","92030080","Coronel Lafayette Cruz","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030050","l10n_br_base.br_rs","92030050","Canudos","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030350","l10n_br_base.br_rs","92030350","Jardelino de Souza Lemos","Rua","Olaria","l10n_br_base.city_4682","base.br"
"cep_92030170","l10n_br_base.br_rs","92030170","dos Kulzer","Beco","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92025250","l10n_br_base.br_rs","92025250","Vinte e Dois","Rua","Marechal Rondon","l10n_br_base.city_4682","base.br"
"cep_92030065","l10n_br_base.br_rs","92030065","Paulo O. Pereira","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030330","l10n_br_base.br_rs","92030330","Marcolino Antônio Alves","Rua","Olaria","l10n_br_base.city_4682","base.br"
"cep_92030250","l10n_br_base.br_rs","92030250","Professor Leonardo Ribeiro","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030320","l10n_br_base.br_rs","92030320","Um","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030440","l10n_br_base.br_rs","92030440","Alberto Rodrigues de Oliveira","Rua","Olaria","l10n_br_base.city_4682","base.br"
"cep_92030560","l10n_br_base.br_rs","92030560","Oito","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030710","l10n_br_base.br_rs","92030710","Seis","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030800","l10n_br_base.br_rs","92030800","Abreu","Beco","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030600","l10n_br_base.br_rs","92030600","Pedro Fredolino F. de Souza","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030500","l10n_br_base.br_rs","92030500","Esperança","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030510","l10n_br_base.br_rs","92030510","Estácio de Sá","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030520","l10n_br_base.br_rs","92030520","Franklin de Oliveira","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030530","l10n_br_base.br_rs","92030530","Luiz Pereira de Souza","Beco","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92031030","l10n_br_base.br_rs","92031030","da Prosperidade","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030550","l10n_br_base.br_rs","92030550","Nove","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92031025","l10n_br_base.br_rs","92031025","da Amizade","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030570","l10n_br_base.br_rs","92030570","Oito","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030720","l10n_br_base.br_rs","92030720","Sete","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030590","l10n_br_base.br_rs","92030590","Onze","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030040","l10n_br_base.br_rs","92030040","Júlio Finkler Primo","Rua","Olaria","l10n_br_base.city_4682","base.br"
"cep_92030610","l10n_br_base.br_rs","92030610","Quatro","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030620","l10n_br_base.br_rs","92030620","Quatro","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030630","l10n_br_base.br_rs","92030630","Santa Margarida","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030640","l10n_br_base.br_rs","92030640","Santo Expedito","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030540","l10n_br_base.br_rs","92030540","Nove","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030790","l10n_br_base.br_rs","92030790","Doutor Olavo Fernandez","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030140","l10n_br_base.br_rs","92030140","Francisco Alves","Rua","Nossa Senhora das Graças","l10n_br_base.city_4682","base.br"
"cep_92030820","l10n_br_base.br_rs","92030820","A","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030450","l10n_br_base.br_rs","92030450","Doze","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030730","l10n_br_base.br_rs","92030730","Sete","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030740","l10n_br_base.br_rs","92030740","Três","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030750","l10n_br_base.br_rs","92030750","Três","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030760","l10n_br_base.br_rs","92030760","Treze","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92425070","l10n_br_base.br_rs","92425070","Augusto Meyer","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92030780","l10n_br_base.br_rs","92030780","Um","Travessa","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030490","l10n_br_base.br_rs","92030490","Ernesto da Silva Rocha","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030795","l10n_br_base.br_rs","92030795","Júlio Pereira de Souza","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030310","l10n_br_base.br_rs","92030310","Três","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030805","l10n_br_base.br_rs","92030805","Dona Castorina Lima da Silveira","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030825","l10n_br_base.br_rs","92030825","B","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030830","l10n_br_base.br_rs","92030830","C","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92031005","l10n_br_base.br_rs","92031005","Aquarius","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92031010","l10n_br_base.br_rs","92031010","da Alegria","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92031020","l10n_br_base.br_rs","92031020","da Felicidade","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92030770","l10n_br_base.br_rs","92030770","Um","Rua","Estância Velha","l10n_br_base.city_4682","base.br"
"cep_92425170","l10n_br_base.br_rs","92425170","João Neves","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92030370","l10n_br_base.br_rs","92030370","Manoel Calbo","Rua","Olaria","l10n_br_base.city_4682","base.br"
"cep_92425180","l10n_br_base.br_rs","92425180","Jossué Guimarães","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425080","l10n_br_base.br_rs","92425080","Aurélio Porto","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425090","l10n_br_base.br_rs","92425090","Balduino Rambo","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425100","l10n_br_base.br_rs","92425100","Carlos Reverbel","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425110","l10n_br_base.br_rs","92425110","Celso Pedro Luft","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425120","l10n_br_base.br_rs","92425120","Eliseu Paglioli","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425130","l10n_br_base.br_rs","92425130","Fábio Barros","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425140","l10n_br_base.br_rs","92425140","Ferreira Viana","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92010100","l10n_br_base.br_rs","92010100","Anita Garibaldi","Rua","Centro","l10n_br_base.city_4682","base.br"
"cep_92425290","l10n_br_base.br_rs","92425290","Romeu Beltrão","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92010090","l10n_br_base.br_rs","92010090","Monte Caseiros","Rua","Centro","l10n_br_base.city_4682","base.br"
"cep_92010130","l10n_br_base.br_rs","92010130","Barão de Cotegipe","Rua","Centro","l10n_br_base.city_4682","base.br"
"cep_92425190","l10n_br_base.br_rs","92425190","Luís Carlos Prestes","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425200","l10n_br_base.br_rs","92425200","Moacyr Domingues","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425210","l10n_br_base.br_rs","92425210","Mário G. Reis","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425220","l10n_br_base.br_rs","92425220","Mário Totta","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425230","l10n_br_base.br_rs","92425230","Moisés Vellinho","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425240","l10n_br_base.br_rs","92425240","Osvaldo Miller Barlem","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425250","l10n_br_base.br_rs","92425250","Pedro Vergara","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425260","l10n_br_base.br_rs","92425260","Peri Borges","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425160","l10n_br_base.br_rs","92425160","Jandir Maya Faillace","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92425150","l10n_br_base.br_rs","92425150","Ivo Correa Meyer","Rua","São José","l10n_br_base.city_4682","base.br"
"cep_92010010","l10n_br_base.br_rs","92010010","Getúlio Vargas","Avenida","Centro","l10n_br_base.city_4682","base.br"
"cep_92025010","l10n_br_base.br_rs","92025010","Cecília Meireles","Rua","Marechal Rondon","l10n_br_base.city_4682","base.br"
