id,name,code,description,legal_ref
tax_110111001,Valores recebidos da administração pública tributados pelo regime de caixa,110111001,"Classificar nesse código as rubricas contábeis representativas dos valores recebidos da administração pública direta, autárquica ou fundacional, cuja tributação se dá no momento do efetivo recebimento.","LC 214/2025 Art. 10, § 2º"
tax_110112001,"Valores recebidos em operações de crédito, relativos a contratos firmados em moeda nacional",110112001,"Classificar nesse código as rubricas contábeis representativas dos valores em operações de crédito, que serão usadas como base para cálculo do valor do IBS e da CBS que será concedido como crédito aos adquirentes, relativos a contratos firmados em moeda nacional. Obs.: As receitas oriundas de operações com títulos de dívida com oferta pública devem ser classificadas em código específicos, por não darem direito a crédito.",LC 214/2025 Art. 194
tax_110112002,"Valores recebidos em operações de crédito, relativos a contratos firmados em moeda estrangeira",110112002,"Classificar nesse código as rubricas contábeis representativas dos valores recebidos em operações de crédito, relativos a contratos firmados em moeda estrangeira.","LC 214/2025 Art. 197, II"
tax_110112003,"Valores recebidos em operações de TVM, relativos a contratos firmados em moeda nacional",110112003,"Classificar nesse código as rubricas contábeis representativas dos valores em operações de TVM, que serão usadas como base para cálculo do valor do IBS e da CBS que será concedido como crédito aos adquirentes, relativos a contratos firmados em moeda nacional. Obs.: As receitas oriundas de operações com títulos de dívida com oferta pública devem ser classificadas em código específicos, por não darem direito a crédito.",LC 214/2025 Art. 195
tax_110112004,"Valores recebidos em operações de TVM, relativos a contratos firmados em moeda estrangeira",110112004,"Classificar nesse código as rubricas contábeis representativas dos valores em operações de TVM, relativos a contratos firmados em moeda estrangeira.","LC 214/2025 Art. 197, II"
tax_110112005,"Valores recebidos em operações de crédito, com recursos do FGTS",110112005,"Classificar nesse código as rubricas contábeis representativas dos valores recebidos em operações de crédito com recursos do FGTS, que serão usadas como base para cálculo do valor do IBS e da CBS que será concedido crédito aos adquirentes.",LC 214/2025 Art. 194
tax_110113001,Títulos de dívida objeto de oferta pública,110113001,Classificar nesse código as rubricas contábeis representativas dos saldos dos títulos de dívida que forem objeto de oferta pública na forma regulamentada pela CVM.,"LC 214/2025 Art. 195, § 1º"
tax_110113002,Títulos de dívida objeto de oferta pública - Fundo de investimento exclusivo,110113002,"Classificar nesse código as rubricas contábeis representativas dos saldos das aplicações em cotas de fundos de investimento exclusivos cuja carteira seja composta por, no mínimo, 95% (noventa e cinco por cento) de títulos de dívida que sejam objeto de oferta pública na forma regulamentada pela CVM.","LC 214/2025 Art. 195, § 2º"
tax_110121001,Valores recebidos da administração pública tributados pelo regime de caixa,110121001,"Classificar nesse código as rubricas contábeis representativas dos valores recebidos da administração pública direta, autárquica ou fundacional, cuja tributação se dá no momento do efetivo recebimento.","LC 214/2025 Art. 10, § 2º"
tax_110211101,Taxas de administração fiduciária,110211101,"Classificar nesse código as rubricas contábeis representativas dos valores recebidos relativas a tarifas e comissões vinculadas a operações de securitização, tais como taxas de estruturação, emissão, cessão, entre outras.",LC 214/2025 Art. 185
tax_110211401,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Competência,110211401,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 1º"
tax_110211402,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Caixa,110211402,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 3º"
tax_110211501,Exportação de serviços,110211501,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam provenientes de residentes no exterior e atendam os requisitos legais para serem consideradas exportação de serviços. Incluir nesse código os valores relativos a tarifas e outros encargos vinculados aos referidos contratos.",LC 214/2025 Art. 232
tax_110211611,Despesas de securitização,110211611,"Classificar nesse código as rubricas contábeis representativas das despesas com securitização, consistindo na emissão, distribuição, custódia, escrituração, registro, preparação e formalização de documentos, administração do patrimônio separado e atuação de agentes fiduciários, de cobrança e de classificação de risco, desde que esses serviços não tenham sido prestados por empregados ou administradores da empresa. Essas despesas devem ser acobertadas por documento fiscal idôneo, emitido pelo prestador do serviço.","LC 214/2025 Art. 193, § 1º, II"
tax_110221101,Faturização - Desconto aplicado - Contratos em moeda nacional,110221101,"Classificar nesse código as rubricas contábeis representativas do valor do desconto aplicado em operações de faturização, em contratos firmados em moeda nacional.","LC 214/2025 Art. 193, § 1º"
tax_110221102,Faturização - Desconto aplicado - Contratos em moeda estrangeira,110221102,"Classificar nesse código as rubricas contábeis representativas do valor do desconto aplicado em operações de faturização, em contratos firmados em moeda estrangeira.","LC 214/2025 Art. 193, § 1º"
tax_110221103,Valor recebido do exterior (não considerado exportação),110221103,"Classificar nesse código as rubricas contábeis representativas dos valores residuais recebidos, que sejam provenientes de residentes no exterior, mas que não sejam consideradas exportação de serviços, sendo, portanto, tributáveis para o IBS/CBS.","LC 214/2025 Art. 232, § 2º"
tax_110221401,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Competência,110221401,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 1º"
tax_110221402,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Caixa,110221402,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 3º"
tax_110221501,Exportação de serviços,110221501,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam provenientes de residentes no exterior e atendam os requisitos legais para serem consideradas exportação de serviços. Incluir nesse código os valores relativos a tarifas e outros encargos vinculados aos referidos contratos.",LC 214/2025 Art. 232
tax_110221611,Perdas incorridas nos recebimentos de créditos e na concessão de descontos,110221611,"Classificar nesse código as rubricas contábeis representativas das despesas com perdas incorridas no recebimento de créditos e as perdas na cessão destes créditos e na concessão de descontos, desde que sejam realizados a valor de mercado.","LC 214/2025 Art. 193, § 2º"
tax_110222101,Tarifas e comissões,110222101,Classificar nesse código as rubricas contábeis representativas dos valores recebidos relativas a tarifas e comissões vinculadas a operações de faturização.,LC 214/2025 Art. 185
tax_110222401,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Competência,110222401,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 1º"
tax_110222402,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Caixa,110222402,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 3º"
tax_110222501,Exportação de serviços,110222501,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam provenientes de residentes no exterior e atendam os requisitos legais para serem consideradas exportação de serviços. Incluir nesse código os valores relativos a tarifas e outros encargos vinculados aos referidos contratos.",LC 214/2025 Art. 232
tax_110311101,"Valores da parcela recebida, incluindo tarifas e outros encargos",110311101,Classificar nesse código as rubricas contábeis representativas dos valores das parcelas recebidas. Incluir nesse código tarifas ou outros encargos cobrados juntamente com a parcela.,"LC 214/2025 Art. 201, I, a, 1"
tax_110311401,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Competência,110311401,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 1º"
tax_110311402,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Caixa,110311402,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 3º"
tax_110312101,"Valores da parcela recebida, incluindo tarifas e outros encargos",110312101,Classificar nesse código as rubricas contábeis representativas dos valores das parcelas recebidas. Incluir nesse código tarifas ou outros encargos cobrados juntamente com a parcela.,"LC 214/2025 Art. 201, I, a, 1"
tax_110312401,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Competência,110312401,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 1º"
tax_110312402,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Caixa,110312402,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 3º"
tax_110312501,Exportação de serviços,110312501,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam provenientes de residentes no exterior e atendam os requisitos legais para serem consideradas exportação de serviços. Incluir nesse código os valores relativos a tarifas e outros encargos vinculados aos referidos contratos.",LC 214/2025 Art. 232
tax_110313101,"Valores da parcela recebida, incluindo tarifas e outros encargos",110313101,Classificar nesse código as rubricas contábeis representativas dos valores das parcelas recebidas. Incluir nesse código tarifas ou outros encargos cobrados juntamente com a parcela.,"LC 214/2025 Art. 201, I, a, 2"
tax_110313411,Valores recebidos pela alienação até o limite do valor líquido de aquisição do bem,110313411,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição até o limite do valor líquido de aquisição do bem. Não tributável para IBS e CBS.","LC 214/2025 Art. 406, § 2º, I"
tax_110313412,Valores recebidos pela alienação que exceder o valor líquido de aquisição do bem,110313412,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição o que exceder o valor líquido de aquisição do bem. Tributável para IBS e CBS.","LC 214/2025 Art. 406, § 2º, II"
tax_110313421,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Competência,110313421,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 1º"
tax_110313422,Valores tributados pelo PIS/Cofins - Não tributáveis pela CBS - FG Caixa,110313422,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição.","LC 214/2025 Art. 408, § 3º"
tax_110314101,"Valores da parcela recebida, incluindo tarifas e outros encargos",110314101,Classificar nesse código as rubricas contábeis representativas dos valores das parcelas recebidas. Incluir nesse código tarifas ou outros encargos cobrados juntamente com a parcela.,"LC 214/2025 Art. 201, I, a, 2"
tax_110314411,Valores recebidos pela alienação até o limite do valor líquido de aquisição do bem,110314411,"Classificar nesse código as rubricas contábeis representativas valores recebidos, que sejam tributados pelo PIS/COFINS durante o período de transição até o limite do valor líquido de aquisição do bem. Não tributável para IBS e CBS.","LC 214/2025 Art. 406, § 2º, I"
