"id","code","name","cst_type","tax_domain"
"cst_icms_00","00","Tributada integralmente","all","icms"
"cst_icms_10","10","Tributada e com cobrança do ICMS por substituição tributária","all","icms"
"cst_icms_20","20","Com redução de base de cálculo","all","icms"
"cst_icms_30","30","Isenta ou não tributada e com cobrança do ICMS por substituição tributária","all","icms"
"cst_icms_40","40","Isenta","all","icms"
"cst_icms_41","41","Não tributada","all","icms"
"cst_icms_50","50","Suspensão","all","icms"
"cst_icms_51","51","Diferimento","all","icms"
"cst_icms_60","60","ICMS cobrado anteriormente por substituição tributária","all","icms"
"cst_icms_70","70","Com redução de base de cálculo e cobrança do ICMS por substituição tributária","all","icms"
"cst_icms_90","90","Outras","all","icms"
"cst_icmssn_101","101","Tributada com permissão de crédito","all","simples"
"cst_icmssn_102","102","Tributada sem permissão de crédito","all","simples"
"cst_icmssn_103","103","Isento de icms para a faixa de receita bruta","all","simples"
"cst_icmssn_201","201","Tributada com permissão de crédito e cobrança de ICMS por ST","all","simples"
"cst_icmssn_202","202","Tributada sem permissão de crédito e cobrança de ICMS por ST","all","simples"
"cst_icmssn_203","203","Isento de ICMS para a faixa de receita bruta e cobrança de ICMS por ST","all","simples"
"cst_icmssn_300","300","Imune","all","simples"
"cst_icmssn_400","400","Não tributada pelo SIMPLES","all","simples"
"cst_icmssn_500","500","ICMS cobrado anteriormente por ST ou por antecipação","all","simples"
"cst_icmssn_900","900","Outros","all","simples"
"cst_ipi_00","00","Entrada com recuperação de crédito","in","ipi"
"cst_ipi_01","01","Entrada tributada com alíquota zero","in","ipi"
"cst_ipi_02","02","Entrada isenta","in","ipi"
"cst_ipi_03","03","Entrada não-tributada","in","ipi"
"cst_ipi_04","04","Entrada imune","in","ipi"
"cst_ipi_05","05","Entrada com suspensão","in","ipi"
"cst_ipi_49","49","Outras entradas","in","ipi"
"cst_ipi_50","50","Saída tributada","out","ipi"
"cst_ipi_51","51","Saída tributada com alíquota zero","out","ipi"
"cst_ipi_52","52","Saída isenta","out","ipi"
"cst_ipi_53","53","Saída não-tributada","out","ipi"
"cst_ipi_54","54","Saída imune","out","ipi"
"cst_ipi_55","55","Saída com suspensão","out","ipi"
"cst_ipi_99","99","Outras saídas","out","ipi"
"cst_pis_01","01","Operação Tributável com Alíquota Básica","out","pis"
"cst_pis_02","02","Operação Tributável com Alíquota Diferenciada","out","pis"
"cst_pis_03","03","Operação Tributável com Alíquota por Unidade de Medida de Produto","out","pis"
"cst_pis_04","04","Operação Tributável Monofásica - Revenda a Alíquota Zero","out","pis"
"cst_pis_05","05","Operação Tributável por Substituição Tributária","out","pis"
"cst_pis_06","06","Operação Tributável a Alíquota Zero","out","pis"
"cst_pis_07","07","Operação Isenta da Contribuição","out","pis"
"cst_pis_08","08","Operação sem Incidência da Contribuição","out","pis"
"cst_pis_09","09","Operação com Suspensão da Contribuição","out","pis"
"cst_pis_49","49","Outras Operações de Saída","out","pis"
