"id","name","tax_domain","tax_include","tax_withholding","sequence","tax_scope"
"tax_group_cofins","COFINS","cofins","True","False","40","federal"
"tax_group_cofins_wh","COFINS RET","cofins_wh","True","True","40","federal"
"tax_group_cofinsst","COFINS ST","cofinsst","True","False","40","federal"
"tax_group_csll","CSLL","csll","True","False","999","federal"
"tax_group_csll_wh","CSLL RET","csll_wh","True","True","999","federal"
"tax_group_icms","ICMS","icms","True","False","30","state"
"tax_group_icmsfcp","ICMS FCP","icmsfcp","True","False","999","state"
"tax_group_icmssn","ICMS - Simples Nacional","icmssn","True","False","999","state"
"tax_group_icmsst","ICMS ST","icmsst","False","False","999","state"
"tax_group_ii","II","ii","True","False","10","federal"
"tax_group_inss","INSS","inss","True","False","999","federal"
"tax_group_inss_wh","INSS RET","inss_wh","True","True","999","federal"
"tax_group_ipi","IPI","ipi","False","False","20","federal"
"tax_group_ir","IR","ir","True","False","999","federal"
"tax_group_irpj","IRPJ","irpj","True","False","999","federal"
"tax_group_irpj_wh","IRPJ RET","irpj_wh","True","True","999","federal"
"tax_group_issqn","ISSQN","issqn","True","False","50","city"
"tax_group_issqn_wh","ISSQN RET","issqn_wh","True","True","50","city"
"tax_group_others","Outros","others","True","False","999","other"
"tax_group_pis","PIS","pis","True","False","40","federal"
"tax_group_pis_wh","PIS RET","pis_wh","True","True","40","federal"
"tax_group_pisst","PIS ST","pisst","True","False","40","federal"
"tax_group_simples","Simples Nacional","simples","True","False","999","federal"
