id,code,name,ncms,ncm_exception,not_in_ncms,piscofins_type,tax_pis_id:id,tax_pis_st_id:id,tax_cofins_id:id,tax_cofins_st_id:id,sped_table,date_start,date_end
"tax_pis_cofins_columativo","000","Regime de Incidência Cumulativa PIS 0,65% e Cofins 3,00%",,,,"company","tax_pis_0_65",,"tax_cofins_3",,,,
"tax_pis_cofins_nao_columativo","000","Regime de Incidência Não Cumulativa PIS 1,65% e Cofins 7,60%",,,,"company","tax_pis_1_65",,"tax_cofins_7_6",,,,
"tax_pis_cofins_diferenciado","000","Regime de Incidência Diferenciada",,,,"company","tax_pis_0",,"tax_cofins_0",,,,
"tax_pis_cofins_simples_nacional","000","Simples Nacional",,,,"company","tax_pis_outros",,"tax_cofins_outros",,,,
tax_piscofins_4310_001,001,Revenda de combustíveis – Alíquota zero,,,,product,tax_pis_monofasico_0_00,,tax_cofins_monofasico_0_00,,4.3.10,2013-01-01,
tax_piscofins_4310_002,002,Revenda de fármacos e perfumarias – Alíquota zero,,,,product,tax_pis_monofasico_0_00,,tax_cofins_monofasico_0_00,,4.3.10,2013-01-01,
tax_piscofins_4310_003,003,"Revenda de veículos, maquinas e autopeças – Alíquota zero",,,,product,tax_pis_monofasico_0_00,,tax_cofins_monofasico_0_00,,4.3.10,2013-01-01,
tax_piscofins_4310_101,101,"Gasolinas, Exceto Gasolina de Aviação",27101259,,,product,tax_pis_monofasico_5_08,,tax_cofins_monofasico_23_44,,4.3.10,2012-01-01,
tax_piscofins_4310_102,102,Óleo Diesel,27101921,,,product,tax_pis_monofasico_4_21,,tax_cofins_monofasico_19_42,,4.3.10,2011-01-01,
tax_piscofins_4310_103,103,Gás Liqüefeito de Petróleo – GLP,27111910,,,product,tax_pis_monofasico_10_20,,tax_cofins_monofasico_47_40,,4.3.10,2011-01-01,
tax_piscofins_4310_104,104,Querosene de Aviação,27101911,,,product,tax_pis_monofasico_5_00,,tax_cofins_monofasico_23_20,,4.3.10,2011-01-01,
tax_piscofins_4310_105,105,Correntes Destinadas à Formulação de Gasolinas,,,,product,tax_pis_monofasico_5_08,,tax_cofins_monofasico_23_44,,4.3.10,2011-01-01,
tax_piscofins_4310_106,106,Correntes Destinadas à Formulação de Óleo Diesel,,,,product,tax_pis_monofasico_4_21,,tax_cofins_monofasico_19_42,,4.3.10,2011-01-01,
tax_piscofins_4310_107,107,Nafta Petroquímica Destinada à Formulação de Gasolina ou de Óleo Diesel,,,,product,tax_pis_monofasico_5_08,,tax_cofins_monofasico_23_44,,4.3.10,2011-01-01,
tax_piscofins_4310_108,108,Nafta Petroquímica Destinada à Formulação Exclusivamente de Óleo Diesel,,,,product,tax_pis_monofasico_4_21,,tax_cofins_monofasico_19_42,,4.3.10,2011-01-01,
tax_piscofins_4310_109,109,Biodiesel,"38260000_01,38260000",,,product,tax_pis_monofasico_6_15,,tax_cofins_monofasico_28_32,,4.3.10,2012-01-01,
tax_piscofins_4310_112,112,"Álcool, Inclusive para Fins Carburantes – Venda por Produtor ou Importador.","22089000_01,220710,2207201",,,product,tax_pis_monofasico_5_25,,tax_cofins_monofasico_24_15,,4.3.10,2025-05-01,
tax_piscofins_4310_116,116,Etanol Não Combustível - A partir de 1º de janeiro de 2026,,,,product,tax_pis_monofasico_1_29,,tax_cofins_monofasico_5_91,,4.3.10,2026-01-01,
tax_piscofins_4310_117,117,"Álcool, Inclusive para Fins Carburantes – Venda efetuada diretamente do produtor ou do importador para as pessoas jurídicas de que tratam os incisos II e III do caput do art. 68-B da Lei nº 9.478, de 6 de agosto de 1997","22089000_01,22071000,22072010",,,product,tax_pis_monofasico_5_25,,tax_cofins_monofasico_24_15,,4.3.10,2025-05-01,
tax_piscofins_4310_150,150,Nafta Petroquímica e Condensado Destinados às Centrais Petroquímicas,,,,product,tax_pis_monofasico_1_52,,tax_cofins_monofasico_7_00,,4.3.10,2025-01-01,2027-12-31
tax_piscofins_4310_201,201,Produtos Farmacêuticos,"3001,3003",,"30039056,3004",product,tax_pis_monofasico_2_10,,tax_cofins_monofasico_9_90,,4.3.10,2011-01-01,
tax_piscofins_4310_202,202,"Produtos de Perfumaria, de Toucador ou de Higiene Pessoal.","3303,3304,3305,3307,34011190",,"34011190_01,34012010,96032100",product,tax_pis_monofasico_2_20,,tax_cofins_monofasico_10_30,,4.3.10,2013-03-08,
tax_piscofins_4310_300,300,"VEICULOS, MAQUINAS E AUTOPEÇAS",,,,product,,,,,4.3.10,,
