"id","codigo","nome"
"tre_capac_0001","3203","Treinamento em utilização/descarte de perfurocortantes"
"tre_capac_0002","3204","Treinamento em utilização de produtos químicos – admissional"
"tre_capac_0003","3205","Treinamento em utilização de produtos químicos – continuado"
"tre_capac_0004","3206","Treinamento em proteção radiológica – admissional"
"tre_capac_0005","3207","Treinamento em proteção radiológica – continuado"
"tre_capac_0006","3208","Treinamento em manipulação de fontes seladas em braquiterapia"
"tre_capac_0007","3209","Treinamento dos empregados envolvidos com resíduos dos serviços de saúde – admissional"
"tre_capac_0008","3210","Treinamento dos empregados envolvidos com resíduos dos serviços de saúde – continuado"
"tre_capac_0009","3211","Treinamento em limpeza dos serviços de saúde – admissional"
"tre_capac_0010","3212","Treinamento em limpeza dos serviços de saúde – continuado"
"tre_capac_0011","3213","Treinamento em manutenção de máquinas e equipamentos em serviços de saúde – admissional"
"tre_capac_0012","3214","Treinamento em manutenção de máquinas e equipamentos em serviços de saúde – continuado"
"tre_capac_0013","3215","Treinamento na operação de equipamentos nos serviços de saúde"
"tre_capac_0014","3299","Outros treinamentos de trabalhadores em estabelecimentos de saúde"
"tre_capac_0015","3401","Treinamento admissional de trabalhadores da indústria naval"
"tre_capac_0016","3402","Treinamento periódico de trabalhadores da indústria naval"
"tre_capac_0017","3403","Treinamento eventual de trabalhadores da indústria naval"
"tre_capac_0018","3404","Treinamento do observador (vigilância especial contra incêndios) na indústria naval"
"tre_capac_0019","3405","Treinamento sinaleiro e operador – Movimentação de cargas na indústria naval"
"tre_capac_0020","3406","Treinamento complementar para o operador – Movimentação de cargas) na indústria naval"
"tre_capac_0021","3407","Treinamento inicial para realização de testes de estanqueidade na indústria naval"
"tre_capac_0022","3408","Treinamento periódico para realização de testes de estanqueidade na indústria naval"
"tre_capac_0023","3409","Capacitação do operador de plataforma elevatória na indústria naval"
"tre_capac_0024","3410","Capacitação da equipe de trabalho para resgate em altura na indústria naval"
"tre_capac_0025","3411","Capacitação em jateamento e hidrojateamento na indústria naval"
"tre_capac_0026","3412","Capacitação nas atividades de pintura na indústria naval"
"tre_capac_0027","3413","Capacitação para movimentação eletromecânica de cargas na indústria naval"
"tre_capac_0028","3414","Capacitação para montagem, desmontagem e manutenção de andaimes na indústria naval"
"tre_capac_0029","3415","Capacitação nas atividades com equipamento portátil rotativo na indústria naval"
"tre_capac_0030","3416","Capacitação nas atividades de Fixação e Estabilização Temporária de Elementos Estruturais na indústria naval"
"tre_capac_0031","3501","Treinamento de trabalho em altura"
"tre_capac_0032","3502","Treinamento periódico bienal de trabalho em altura"
"tre_capac_0033","3503","Treinamento eventual de trabalho em altura"
"tre_capac_0034","3504","Capacitação da equipe de salvamento – trabalho em altura"
"tre_capac_0035","1006","Autorização para trabalhar em instalações elétricas"
"tre_capac_0036","1207","Operação e realização de intervenções em máquinas"
"tre_capac_0037","0101","Informação aos trabalhadores"
"tre_capac_0038","0501","Treinamento membros da CIPA"
"tre_capac_0039","0502","Treinamento designado da CIPA"
"tre_capac_0040","0601","Treinamento sobre uso adequado do EPI, guarda e conservação"
"tre_capac_0041","0701","Treinamento Primeiros Socorros"
"tre_capac_0042","0901","Treinamento sobre os procedimentos que assegurem a eficiência da proteção coletiva e respectivas limitações"
"tre_capac_0043","0902","Treinamento sobre correta utilização e limitações do EPI"
"tre_capac_0044","0903","Treinamento para membros da CIPA ou designado que opere(m) em PRC com combustíveis líquidos contendo benzeno"
"tre_capac_0045","0904","Capacitação nas atividades com risco de exposição ocupacional ao benzeno"
"tre_capac_0046","1001","Treinamento de instalações elétricas energizadas"
"tre_capac_0047","1002","Treinamento em segurança para trabalhadores que intervenham em instalações elétricas energizadas com alta tensão no Sistema Elétrico de Potência"
"tre_capac_0048","1003","Treinamento sobre os riscos decorrentes do emprego da energia elétrica e principais medidas de prevenção de acidentes"
"tre_capac_0049","1004","Treinamento de reciclagem bienal em instalações elétricas"
"tre_capac_0050","1005","Treinamento para trabalho em áreas classificadas"
"tre_capac_0051","1101","Treinamento para operadores de equipamentos com força motriz própria"
"tre_capac_0052","1102","Capacitação para Movimentação, Armazenagem e Manuseio de Chapas de Rochas Ornamentais – Admissional"
"tre_capac_0053","1103","Capacitação para Movimentação, Armazenagem e Manuseio de Chapas de Rochas Ornamentais – Capacitação de Reciclagem trienal"
"tre_capac_0054","1104","Capacitação para Movimentação, Armazenagem e Manuseio de Chapas de Rochas Ornamentais – Capacitação eventual"
"tre_capac_0055","1201","Treinamento para operação, manutenção, inspeção e demais intervenções de máquinas e equipamentos"
"tre_capac_0056","1202","Capacitação de reciclagem em operação, manutenção, inspeção e demais intervenções de máquinas e equipamentos"
"tre_capac_0057","1203","Capacitação para operadores de máquinas injetoras"
"tre_capac_0058","1204","Capacitação para operadores de máquinas automotrizes ou autopropelidas"
"tre_capac_0059","1205","Treinamento para operadores de Motosserra e similares"
"tre_capac_0060","1206","Curso Básico de Segurança de Plataforma"
"tre_capac_0061","1301","Treinamento para operador de caldeira"
"tre_capac_0062","1302","Estágio prático na operação de caldeira"
"tre_capac_0063","1303","Capacitação de reciclagem para operação de caldeiras"
"tre_capac_0064","1304","Treinamento de Segurança na Operação de Unidades de Processos"
"tre_capac_0065","1305","Estágio Prático na Operação de Vasos de Pressão"
"tre_capac_0066","1501","Treinamento de Resgate e Retorno ao Sino de Mergulho"
"tre_capac_0067","1502","Treinamento para empregados expostos a asbesto sobre procedimentos a serem adotados emsituações de emergência"
"tre_capac_0068","1503","Treinamento para empregados expostos a manganês sobre o suo de máscaras autônomas para casos especiais"
"tre_capac_0069","1701","Treinamento ou instruções satisfatórias para trabalhador designado para o transporte manual regular de cargas, que não as leves"
"tre_capac_0070","1702","Treinamento admissional para operadores de checkout"
"tre_capac_0071","1703","Treinamento de reciclagem para operadores de checkout"
"tre_capac_0072","1704","Capacitação devido à introdução de novos métodos ou dispositivos tecnológicos"
"tre_capac_0073","1705","Treinamento em teleatendimento"
"tre_capac_0074","1706","Capacitação adicional – quando forem introduzidos novos fatores de risco decorrentes de métodos, equipamentos, tipos específicos de atendimento, mudanças gerenciais ou de procedimentos"
"tre_capac_0075","1801","Treinamento para empregados envolvidos nas atividades de tubulões a céu aberto"
"tre_capac_0076","1802","Treinamento para operadores de equipamentos de movimentação e transporte de materiais e pessoas"
